ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	74/681	238/13584	0.31092436974789917	6.202050864398623	18.600026811509153	4.728756255722666e-39	1.0214113512360959e-36	7.118022574403593e-37	K00265/K00548/K01681/K00615/K01652/K01687/K01649/K01657/K01760/K00266/K01915/K01626/K00800/K01733/K00003/K01647/K01689/K01754/K01696/K00620/K01940/K00031/K01739/K00812/K00927/K00821/K00013/K01439/K00831/K00058/K00817/K00789/K00826/K00600/K00052/K00053/K00133/K00134/K01620/K00766/K02204/K00145/K00611/K01738/K00641/K01623/K01714/K01736/K00500/K00674/K01079/K00014/K00286/K01695/K01609/K02500/K01814/K01803/K00215/K01834/K01658/K00640/K01783/K00616/K00765/K01817/K02501/K01693/K01703/K03786/K00930/K01496/K01523/K01808	74	1Dt100g
map01240	Biosynthesis of cofactors	81/681	375/13584	0.216	4.308581497797356	14.926175998648905	3.56518520202981e-30	3.850400018192195e-28	2.683270967843489e-28	K01955/K01950/K03147/K01665/K03342/K01937/K00278/K00382/K01885/K11754/K00012/K01939/K00652/K00643/K09458/K03185/K01465/K01956/K03750/K00831/K01077/K14652/K00789/K00826/K02302/K02303/K04487/K00600/K01599/K01497/K00254/K02259/K00097/K08679/K03517/K01698/K00609/K03644/K01920/K11753/K01053/K02257/K01491/K00606/K00963/K01918/K00767/K00208/K00059/K03801/K00453/K00568/K03525/K03149/K00858/K03183/K03474/K09903/K00788/K01591/K03179/K01495/K13038/K19221/K00793/K09882/K03809/K00859/K00275/K09883/K03638/K00954/K03637/K01012/K00287/K08973/K03635/K19222/K00794/K01633/K00939	81	1Dt100g
map02040	Flagellar assembly	31/681	55/13584	0.5636363636363636	11.242931517821384	17.48633616273238	2.0770589787174018e-26	1.4954824646765293e-24	1.0421734524792579e-24	K02400/K03086/K02409/K03092/K02407/K02396/K10943/K02406/K02401/K02410/K02416/K02557/K02419/K02556/K02397/K02392/K02421/K02405/K02391/K02389/K02415/K02394/K02412/K02388/K02422/K02395/K02408/K02387/K02417/K02420/K02418	31	1Dt100g
map03010	Ribosome	47/681	143/13584	0.32867132867132864	6.55605187763778	15.3442115689758	2.81534864207214e-26	1.5202882667189557e-24	1.0594601468850423e-24	K02945/K02967/K02886/K02906/K02982/K02863/K02926/K02939/K02986/K02931/K02996/K02959/K02876/K02933/K02864/K02992/K02871/K02878/K02867/K02879/K02990/K02994/K02948/K02890/K02935/K02950/K02952/K02874/K02887/K02888/K02881/K02895/K02892/K02946/K02954/K02961/K02965/K02956/K02899/K02968/K02963/K02919/K02904/K02970/K02916/K02911/K02914	47	1Dt100g
map01200	Carbon metabolism	70/681	365/13584	0.1917808219178082	3.8254782451270293	12.57086482362988	6.30334313382942e-23	2.7230442338143095e-21	1.897638038184436e-21	K00164/K01007/K01006/K01681/K01782/K03781/K07516/K01638/K00615/K00174/K01690/K00239/K00283/K01610/K00140/K01676/K01810/K00036/K01595/K00162/K00382/K01679/K01961/K00282/K00627/K01647/K01689/K01637/K01903/K01754/K00031/K00626/K00927/K00605/K00831/K00058/K00121/K00600/K00161/K00874/K00175/K00134/K00033/K00845/K00024/K00297/K01738/K01053/K01623/K01902/K01491/K00074/K01963/K01070/K00658/K01079/K01803/K01715/K01057/K01834/K00640/K01783/K00616/K01625/K05606/K02160/K00241/K00242/K02437/K01808	70	1Dt100g
map04112	Cell cycle - Caulobacter	17/681	31/13584	0.5483870967741935	10.93875230922268	12.726853730239563	9.013606498517385e-15	3.2448983394662583e-13	2.2613082969964666e-13	K01338/K13587/K02314/K02313/K03544/K03588/K02563/K13590/K13584/K13583/K01358/K13588/K06985/K03531/K13592/K13589/K11443	17	1Dt100g
map00970	Aminoacyl-tRNA biosynthesis	23/681	66/13584	0.3484848484848485	6.951274863169137	11.134015287058052	3.9909567541626287e-14	1.231495226998754e-12	8.582057381131668e-13	K01870/K01873/K01872/K01869/K01879/K01868/K01876/K01887/K01874/K01881/K01890/K02434/K01875/K01883/K01885/K01892/K01866/K01889/K02433/K01867/K00604/K01878/K02435	23	1Dt100g
map03070	Bacterial secretion system	23/681	74/13584	0.3108108108108108	6.199785688772473	10.30385378793184	6.456500111912899e-13	1.7432550302164826e-11	1.2148414684257165e-11	K03070/K03199/K03205/K03217/K03106/K12340/K03076/K03195/K03196/K03201/K03110/K03204/K03118/K03200/K03203/K03194/K03071/K03117/K03075/K03197/K03198/K03116/K03073	23	1Dt100g
map01232	Nucleotide metabolism	28/681	123/13584	0.22764227642276422	4.540811575516636	9.062390407251195	9.810867266442594e-12	2.3546081439462223e-10	1.6408818936857204e-10	K11177/K01081/K11751/K01937/K01951/K00088/K01241/K01939/K11178/K21053/K01129/K00560/K04765/K05810/K03787/K09903/K00942/K00945/K13483/K00943/K00857/K06966/K01494/K06287/K00769/K01489/K01520/K00939	28	1Dt100g
map00550	Peptidoglycan biosynthesis	18/681	53/13584	0.33962264150943394	6.774499210373203	9.676390173076829	3.974615170540664e-11	8.585168768367836e-10	5.982841783024369e-10	K05366/K05515/K03587/K01928/K01924/K01929/K01925/K00790/K07258/K02563/K01000/K01921/K00075/K06153/K07260/K03814/K05367/K00806	18	1Dt100g
