ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	72/542	238/13584	0.3025210084033613	7.582002542714502	20.883166913019828	6.106670624185692e-44	1.1846941010920244e-41	7.97081218314764e-42	K00031/K00615/K01681/K01649/K01687/K01953/K01652/K00549/K00058/K00134/K01703/K01647/K01586/K00147/K00928/K01915/K01754/K00003/K12524/K14155/K00812/K00821/K01689/K00600/K01940/K00927/K01803/K00931/K00641/K00817/K00620/K01760/K00831/K00145/K00133/K00616/K01738/K00766/K14267/K00052/K01733/K00053/K01697/K00013/K00930/K00674/K00611/K01714/K01778/K01476/K00014/K00765/K02502/K01624/K01657/K02500/K01243/K02501/K01814/K01817/K01658/K01783/K01089/K01693/K01834/K01704/K01653/K01808/K04092/K01752/K01523/K00872	72	2Dt1e
map03010	Ribosome	38/542	143/13584	0.26573426573426573	6.660026320542926	13.870626409684155	2.6803252311411483e-21	2.599915474206914e-19	1.7492648876921175e-19	K02886/K02982/K02863/K02926/K02988/K02906/K02931/K02933/K02864/K02992/K02939/K02876/K02867/K02878/K02994/K02895/K02881/K02935/K02887/K02950/K02874/K02890/K02946/K02961/K02888/K02892/K02965/K02968/K02899/K02963/K02904/K02909/K02916/K02902/K02954/K02907/K02913/K02914	38	2Dt1e
map01200	Carbon metabolism	53/542	365/13584	0.14520547945205478	3.6392458171157047	10.419631704743257	1.8258378051463374e-16	1.1807084473279648e-14	7.943996064496343e-15	K00123/K00163/K01006/K01007/K00281/K00283/K00031/K01782/K13788/K00615/K01895/K01681/K00239/K00863/K01810/K00058/K00036/K03781/K00134/K00851/K00033/K01647/K01679/K01754/K00925/K01689/K00600/K01455/K00148/K00927/K01803/K00874/K00121/K00831/K07404/K00616/K01738/K00074/K00845/K01053/K00297/K01491/K01624/K00886/K00240/K01625/K00382/K01783/K01834/K01808/K00242/K00241/K01752	53	2Dt1e
map00010	Glycolysis / Gluconeogenesis	23/542	106/13584	0.2169811320754717	5.4381396644155124	9.351183240667423	2.13158997346756e-11	1.0338211371317667e-9	6.955714650262564e-10	K00163/K01006/K01007/K00001/K01895/K01810/K01835/K00128/K00134/K01222/K01689/K00927/K01803/K00121/K13979/K00845/K13953/K01792/K01624/K00886/K00138/K00382/K01834	23	2Dt1e
map00051	Fructose and mannose metabolism	23/542	112/13584	0.20535714285714285	5.146810753821824	8.98323138313585	7.013894529270911e-11	2.7213910773571134e-9	1.8309956244833534e-9	K02798/K02800/K00068/K01629/K00863/K01840/K01818/K00848/K00045/K00594/K18334/K00971/K01803/K01809/K01805/K01820/K00009/K00064/K07046/K00847/K01624/K19270/K01808	23	2Dt1e
map01240	Biosynthesis of cofactors	44/542	375/13584	0.11733333333333333	2.9406937269372695	7.768963150314222	1.1940010384813585e-10	3.860603357756392e-9	2.597475943362955e-9	K00763/K00278/K00767/K01885/K00128/K02858/K14652/K03517/K00231/K11754/K01465/K00600/K09458/K01809/K04487/K12234/K00831/K03800/K00097/K02259/K00946/K00609/K00867/K01053/K06215/K01491/K00606/K00059/K00868/K00941/K06042/K03183/K03707/K01664/K08681/K00878/K00382/K00939/K00969/K00275/K02257/K00794/K01772/K00940	44	2Dt1e
map00340	Histidine metabolism	15/542	47/13584	0.3191489361702128	7.9987438172254075	9.79790461173706	1.969095161211805e-10	5.4572065896441456e-9	3.6716962404550948e-9	K01712/K01745/K00128/K01468/K00817/K00013/K07008/K00765/K02502/K02500/K02501/K01814/K01089/K01693/K01523	15	2Dt1e
map00260	Glycine, serine and threonine metabolism	22/542	109/13584	0.2018348623853211	5.058532787162735	8.672480190694685	2.599382099767001e-10	6.303501591934977e-9	4.241097110146159e-9	K00281/K00283/K00058/K13745/K00108/K17755/K00130/K00928/K01754/K00003/K12524/K00600/K00639/K00831/K00133/K00060/K01733/K01697/K00382/K01834/K01752/K00872	22	2Dt1e
map01210	2-Oxocarboxylic acid metabolism	19/542	82/13584	0.23170731707317074	5.807218072180722	8.900760058425089	3.631744845882188e-10	7.828427778901607e-9	5.267091940226799e-9	K00031/K01681/K01649/K01687/K01652/K01703/K01647/K05825/K00928/K00812/K00821/K00620/K00145/K00133/K00052/K00053/K00930/K01704/K01653	19	2Dt1e
map00520	Amino sugar and nucleotide sugar metabolism	25/542	156/13584	0.16025641025641027	4.016463241555493	7.724672323859249	2.6216896450356596e-9	5.086077911369179e-8	3.4219949050991766e-8	K02804/K01810/K01835/K01840/K01209/K01207/K12373/K03431/K02472/K13015/K00790/K01854/K00820/K00971/K00849/K00965/K01809/K13010/K01791/K00845/K00075/K00847/K02564/K00886/K01784	25	2Dt1e
