ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	109/972	238/13584	0.4579831932773109	6.400456478887851	23.333634490597145	8.230347831936831e-62	1.9835138274967762e-59	1.4034908934460704e-59	K00265/K01958/K01681/K00031/K00615/K01652/K01649/K01687/K00058/K01733/K01703/K00266/K00873/K00134/K01752/K01940/K01755/K01915/K01586/K01697/K01626/K00800/K01657/K00013/K00003/K12524/K00836/K01647/K00928/K01689/K00600/K00147/K00812/K14267/K01754/K01736/K14260/K00821/K01696/K00927/K01803/K00789/K01739/K00641/K05827/K00549/K14155/K00620/K04517/K00831/K00616/K00817/K01439/K00826/K21071/K01735/K13829/K01620/K00133/K00766/K01738/K00052/K00145/K00948/K01750/K01624/K00053/K16370/K01714/K00014/K04518/K00674/K00872/K00611/K00930/K05602/K01778/K00286/K00765/K02502/K01476/K01695/K01609/K00931/K02500/K01814/K01817/K00215/K01834/K01783/K01079/K02501/K01658/K01089/K01693/K01704/K00640/K22305/K01243/K00891/K01653/K00619/K01808/K07173/K03786/K01496/K11755/K04092/K01523	109	2Dt1l
map01240	Biosynthesis of cofactors	106/972	375/13584	0.2826666666666667	3.950353909465021	16.083989481282934	1.172568229173101e-36	1.4129447161535868e-34	9.997687006633812e-35	K01955/K00941/K14153/K13950/K01077/K00278/K00457/K01937/K02551/K01465/K01885/K00231/K00767/K00382/K00128/K11754/K01665/K03342/K01845/K00763/K00103/K02492/K03750/K03517/K01939/K02858/K14652/K00600/K02552/K01756/K02302/K09458/K13038/K00789/K01556/K01772/K04487/K00012/K01809/K01911/K02549/K01956/K01719/K00831/K02259/K03639/K00826/K03800/K01599/K11752/K00226/K00254/K01698/K00946/K01749/K03644/K00097/K02548/K00609/K11753/K00867/K02257/K01661/K00059/K00858/K06215/K01491/K00963/K02619/K00878/K00453/K00606/K15734/K00868/K01591/K01918/K01916/K13542/K00796/K00950/K01633/K00355/K03183/K09903/K03801/K02226/K05979/K08281/K00793/K01495/K01664/K00969/K00859/K00275/K00939/K20862/K08681/K00762/K13940/K00954/K00794/K00287/K03635/K03637/K00940/K01579	106	2Dt1l
map03010	Ribosome	53/972	143/13584	0.3706293706293706	5.179659846326513	13.948649738615915	6.220468286120853e-25	4.9971095231837516e-23	3.53584513105817e-23	K02945/K02967/K02886/K02982/K02988/K02879/K02863/K02876/K02926/K02906/K02897/K02986/K02931/K02933/K02864/K02996/K02992/K02939/K02871/K02959/K02867/K02878/K02948/K02890/K02994/K02887/K02935/K02952/K02990/K02874/K02950/K02881/K02895/K02884/K02892/K02904/K02961/K02946/K02888/K02954/K02965/K02956/K02968/K02899/K02963/K02909/K02902/K02911/K02916/K02907/K02913/K02914/K02919	53	2Dt1l
map01200	Carbon metabolism	85/972	365/13584	0.2328767123287671	3.2545239303230167	12.121070636727323	3.9919333000011264e-23	2.4051398132506787e-21	1.70182419631627e-21	K00164/K01616/K01958/K00281/K00283/K01681/K01595/K00163/K00031/K01638/K01782/K13788/K00615/K00232/K01895/K11263/K00239/K00658/K00863/K01637/K01810/K00058/K01966/K00036/K00140/K03781/K00116/K00033/K00382/K00873/K00134/K01752/K01679/K00627/K01647/K01689/K00600/K01601/K07404/K01754/K00925/K00148/K00927/K01803/K00626/K01903/K00248/K00121/K00161/K00831/K00616/K00605/K21071/K01738/K00948/K01624/K00162/K16370/K00024/K02446/K00845/K00074/K00874/K01902/K01491/K00297/K09709/K01057/K00240/K00886/K01834/K01715/K01783/K01079/K01625/K06859/K00640/K22305/K10713/K01808/K00851/K00242/K00241/K02437/K02160	85	2Dt1l
map01232	Nucleotide metabolism	37/972	123/13584	0.3008130081300813	4.203954632138914	9.90921504195541	2.008429426837084e-14	9.680629837354745e-13	6.849801413633846e-13	K01081/K13482/K00525/K01937/K01951/K00088/K13481/K01129/K00756/K00758/K01939/K01756/K01488/K06966/K00760/K00526/K00942/K03783/K00560/K02566/K03787/K09903/K00945/K00761/K00857/K00943/K01494/K06287/K00939/K08723/K00759/K02825/K01487/K01520/K01485/K00940/K01489	37	2Dt1l
map00970	Aminoacyl-tRNA biosynthesis	24/972	66/13584	0.36363636363636365	5.081930415263749	9.228271124438201	8.424470272133207e-12	3.383828892640171e-10	2.394323129974701e-10	K01870/K01872/K01873/K01869/K01890/K01868/K01876/K01881/K01874/K01887/K02433/K02434/K04567/K01885/K00604/K01883/K01880/K01866/K01892/K01875/K01042/K01889/K01867/K02435	24	2Dt1l
map00260	Glycine, serine and threonine metabolism	31/972	109/13584	0.28440366972477066	3.9746290633140786	8.656068422092865	1.3527538519085569e-11	4.657338261570889e-10	3.2954304362283646e-10	K00281/K00283/K00865/K00276/K00058/K01733/K00382/K01752/K00274/K01697/K00003/K12524/K00836/K00928/K00600/K01754/K01696/K00831/K00605/K01620/K00133/K00060/K00872/K10674/K01695/K01834/K01079/K22305/K06718/K06720/K02437	31	2Dt1l
map00240	Pyrimidine metabolism	31/972	111/13584	0.27927927927927926	3.9030141252363473	8.525453407242077	2.274063343566812e-11	6.850615822495021e-10	4.847345548129257e-10	K01081/K01955/K00525/K01937/K01465/K00756/K00758/K01956/K06966/K00226/K00254/K00526/K00609/K01591/K00560/K02566/K03787/K09903/K00945/K00761/K00857/K00943/K01494/K06287/K08723/K00762/K02825/K01520/K01485/K00940/K01489	31	2Dt1l
map00250	Alanine, aspartate and glutamate metabolism	24/972	70/13584	0.34285714285714286	4.791534391534392	8.828990797267702	3.587709087665643e-11	9.607087668082444e-10	6.797764587155957e-10	K00265/K13821/K01955/K00820/K00278/K00135/K00764/K00266/K01744/K01940/K01755/K01915/K01580/K01425/K00262/K07250/K01939/K01756/K00812/K14260/K01956/K00259/K00609/K01779	24	2Dt1l
map00340	Histidine metabolism	19/972	47/13584	0.40425531914893614	5.649592855266613	8.864242764571848	1.4845783655933518e-10	3.541899368000345e-9	2.5061703324571126e-9	K01712/K01745/K00128/K00274/K00013/K01468/K00817/K01479/K05602/K00765/K02502/K02500/K01814/K02501/K01089/K01693/K01496/K11755/K01523	19	2Dt1l
map00010	Glycolysis / Gluconeogenesis	29/972	106/13584	0.27358490566037735	3.8234334963894714	8.101338357559731	1.7333134272879156e-10	3.541899368000345e-9	2.5061703324571126e-9	K00163/K00001/K01895/K01596/K01835/K01810/K00138/K00382/K00873/K00134/K00128/K00627/K01223/K01689/K00927/K01803/K00121/K00161/K21071/K13979/K01624/K00162/K16370/K02446/K00845/K01785/K00886/K01834/K06859	29	2Dt1l
map00280	Valine, leucine and isoleucine degradation	23/972	69/13584	0.3333333333333333	4.658436213991769	8.457675327931822	1.7636013450624124e-10	3.541899368000345e-9	2.5061703324571126e-9	K01782/K11263/K01966/K01969/K00140/K18661/K00382/K00128/K01968/K07250/K00626/K00632/K00249/K00248/K11410/K00263/K00166/K00826/K01692/K01640/K00020/K01028/K01029	23	2Dt1l
map00230	Purine metabolism	44/972	220/13584	0.2	2.795061728395062	7.451805251488576	3.3662855774296015e-10	6.240575570465647e-9	4.415694441648547e-9	K01081/K13482/K01952/K00951/K01139/K00525/K01835/K00602/K01951/K00088/K13481/K00764/K01129/K01939/K01945/K11788/K01756/K01488/K01589/K01933/K00948/K06966/K00760/K00526/K00365/K01524/K03651/K00942/K01923/K03783/K14977/K02566/K03787/K07816/K01515/K00939/K19710/K11175/K00759/K01487/K01588/K07127/K16840/K00940	44	2Dt1l
map00290	Valine, leucine and isoleucine biosynthesis	12/972	19/13584	0.631578947368421	8.826510721247564	9.477069983806759	5.314340915613049e-10	9.148258290448176e-9	6.473106979919654e-9	K01652/K01649/K01687/K01703/K01754/K14260/K00263/K00826/K00052/K00053/K01704/K01653	12	2Dt1l
map00020	Citrate cycle (TCA cycle)	22/972	67/13584	0.3283582089552239	4.588907315275475	8.175201934360388	6.107206617400781e-10	9.812245298623921e-9	6.942929628202994e-9	K00164/K01616/K01958/K01681/K00163/K00031/K01596/K00239/K00658/K00116/K00382/K01679/K00627/K01647/K01903/K00161/K00162/K00024/K01902/K00240/K00242/K00241	22	2Dt1l
map00051	Fructose and mannose metabolism	29/972	112/13584	0.25892857142857145	3.6186067019400356	7.725066934324135	7.241769225718242e-10	1.0907914896238102e-8	7.718201411620759e-9	K00068/K01629/K00863/K01840/K01818/K02798/K02800/K00045/K00848/K18334/K00594/K01803/K01805/K01820/K00009/K01809/K00971/K21071/K00008/K00064/K01624/K00882/K16370/K02446/K00847/K12660/K19270/K01808/K02768	29	2Dt1l
map01210	2-Oxocarboxylic acid metabolism	24/972	82/13584	0.2926829268292683	4.0903342366757	7.792060743309958	1.4520570004521943e-9	2.0585043359351695e-8	1.4565525329613344e-8	K01681/K00031/K01652/K01649/K01687/K01703/K00836/K01647/K00928/K00812/K14260/K00821/K05825/K05827/K00620/K00826/K00133/K00052/K00145/K00053/K00930/K01704/K01653/K00619	24	2Dt1l
map00630	Glyoxylate and dicarboxylate metabolism	27/972	104/13584	0.25961538461538464	3.628205128205128	7.469129403192233	2.6202432750119956e-9	3.5082146070993944e-8	2.482335734221891e-8	K01616/K00281/K00283/K01681/K00865/K01638/K01895/K11263/K01608/K01637/K01966/K03781/K00382/K01915/K00104/K01647/K00600/K01601/K00626/K00605/K00024/K01433/K00042/K01816/K01091/K01625/K02437	27	2Dt1l
map00620	Pyruvate metabolism	31/972	133/13584	0.23308270676691728	3.257402766174696	7.262674642035755	3.0936795834057034e-9	3.9240883136882866e-8	2.7765988504804652e-8	K01958/K01595/K00163/K01638/K13788/K00001/K01895/K11263/K01596/K01649/K00156/K00158/K00138/K00116/K00382/K00873/K00128/K01679/K00627/K00102/K00101/K00467/K00925/K00626/K00121/K00161/K13979/K00162/K00024/K01512/K02160	31	2Dt1l
map03060	Protein export	16/972	39/13584	0.41025641025641024	5.733459955682178	8.217893486656083	3.286371438093487e-9	3.9600775829026525e-8	2.802064068269184e-8	K03070/K03072/K03106/K03076/K13280/K03217/K03074/K03110/K03118/K03100/K03101/K03117/K03210/K03073/K03116/K03075	16	2Dt1l
map00520	Amino sugar and nucleotide sugar metabolism	34/972	156/13584	0.21794871794871795	3.0459006014561574	7.134773074332985	3.4832916618782784e-9	3.99749185958412e-8	2.8285375900966472e-8	K00820/K01835/K01840/K01810/K01209/K12373/K01207/K04042/K00790/K03431/K02472/K13015/K00975/K00983/K00849/K00965/K00012/K09001/K01809/K01443/K00075/K01784/K01854/K00971/K01791/K00845/K07106/K00847/K00963/K01654/K05304/K02564/K00886/K06859	34	2Dt1l
map00360	Phenylalanine metabolism	21/972	74/13584	0.28378378378378377	3.9659659659659656	7.102207398033194	2.814810831861198e-8	3.08349732035704e-7	2.1818150945526995e-7	K02618/K00276/K00457/K00146/K01426/K00274/K01912/K00812/K00285/K05712/K02613/K00817/K01692/K02609/K00074/K05714/K02611/K15866/K02612/K05710/K02610	21	2Dt1l
map00300	Lysine biosynthesis	16/972	48/13584	0.3333333333333333	4.658436213991769	7.048714737828423	1.0633785638984382e-7	1.114235799563146e-6	7.884088208308787e-7	K01928/K01929/K01586/K00003/K12524/K00928/K14267/K00821/K05825/K05827/K01439/K00133/K01714/K00674/K01778/K00215	16	2Dt1l
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	20/972	74/13584	0.2702702702702703	3.7771104437771106	6.64997999480597	1.4656576098975037e-7	1.4717645166054099e-6	1.041388301769279e-6	K01626/K00800/K01657/K00812/K01736/K01696/K04517/K00817/K01735/K13829/K00766/K00014/K04518/K01695/K01609/K01817/K01658/K00891/K03786/K04092	20	2Dt1l
map00030	Pentose phosphate pathway	22/972	88/13584	0.25	3.493827160493827	6.515446058797099	1.602820406376916e-7	1.5451188717473471e-6	1.0932922350865702e-6	K01621/K00615/K01835/K01810/K00036/K00033/K07404/K00616/K21071/K00948/K01624/K16370/K01619/K02446/K00852/K00874/K01057/K01783/K01625/K06859/K01808/K00851	22	2Dt1l
map00362	Benzoate degradation	24/972	106/13584	0.22641509433962265	3.164220824598183	6.209845283399676	3.2956661444721413e-7	2.941687188214022e-6	2.0814733544034583e-6	K01782/K01857/K00626/K00632/K00481/K00252/K16514/K20943/K20944/K01692/K10219/K00446/K00074/K01055/K10216/K00449/K07104/K14727/K01031/K16515/K10218/K01032/K00448/K01607	24	2Dt1l
