ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	95/925	238/13584	0.39915966386554624	5.861821485350897	20.454126784294388	2.8021285925464316e-49	6.893236337664221e-47	4.778366652552863e-47	K00265/K00548/K01681/K00615/K01953/K01687/K01652/K01649/K00058/K01657/K00873/K00266/K01703/K01915/K01733/K01626/K01755/K01752/K00800/K00600/K00003/K01647/K00013/K01689/K01586/K00931/K00928/K01754/K01696/K00620/K00031/K01940/K00789/K01739/K00812/K01760/K00832/K00927/K00821/K01439/K00831/K00641/K00817/K00147/K02502/K01735/K00826/K01736/K00052/K00133/K00053/K00134/K01620/K01738/K00766/K02204/K01778/K00640/K00948/K00145/K00611/K00220/K01623/K00014/K00930/K01714/K00500/K00674/K01079/K00286/K01695/K01609/K02500/K01803/K04518/K00215/K01814/K01834/K01783/K00616/K00765/K01817/K01704/K02501/K01693/K01658/K01243/K01653/K00891/K00619/K03786/K01808/K01496/K01523/K04092	95	3Dt2c
map01240	Biosynthesis of cofactors	110/925	375/13584	0.29333333333333333	4.307718918918919	17.558130712290858	8.41629306335599e-42	1.0352040467927868e-39	7.175997243493003e-40	K01955/K01950/K03147/K00457/K09883/K01665/K03342/K01077/K01113/K01937/K01885/K00128/K01465/K01756/K11754/K00763/K00600/K01939/K09458/K00652/K00833/K00643/K01556/K00789/K00012/K01956/K03750/K13038/K00941/K14652/K00831/K01012/K04487/K00826/K00796/K01497/K02259/K01772/K03149/K03639/K09882/K00097/K01698/K00254/K08679/K01599/K02225/K00609/K11752/K01920/K11753/K03644/K01749/K02257/K01491/K00946/K00963/K00606/K00228/K00767/K01918/K01809/K00453/K00208/K02303/K03525/K00059/K00568/K00858/K06127/K03474/K09903/K01919/K01495/K03801/K00788/K01591/K03517/K00939/K00969/K01935/K02169/K19221/K00793/K03809/K00859/K00275/K08281/K00798/K02226/K06134/K02231/K02302/K00954/K03638/K00287/K01719/K02496/K13542/K13543/K00950/K02372/K03637/K08973/K03635/K00794/K00940/K01633/K02233/K00762	110	3Dt2c
map03010	Ribosome	52/925	143/13584	0.36363636363636365	5.340147420147421	14.103461789770407	4.880477454099568e-25	4.001991512361646e-23	2.774166131803966e-23	K02945/K02886/K02967/K02906/K02988/K02982/K02863/K02897/K02926/K02939/K02931/K02996/K02933/K02876/K02864/K02871/K02992/K02867/K02878/K02990/K02879/K02994/K02884/K02948/K02890/K02935/K02959/K02950/K02887/K02874/K02952/K02881/K02888/K02892/K02895/K02954/K02902/K02965/K02961/K02956/K02899/K02968/K02909/K02963/K02970/K02904/K02916/K02911/K02907/K02913/K02914/K02919	52	3Dt2c
map02040	Flagellar assembly	31/925	55/13584	0.5636363636363636	8.277228501228501	14.617850801391667	2.1295976573743694e-22	1.3097025592852372e-20	9.07881106564863e-21	K02400/K03086/K02406/K02409/K02407/K03092/K02396/K02412/K10943/K02394/K02401/K02390/K02410/K02557/K02393/K02419/K02556/K02421/K02392/K02411/K02391/K02405/K02389/K02386/K02388/K02422/K02408/K02395/K02387/K02398/K02420	31	3Dt2c
map01200	Carbon metabolism	79/925	365/13584	0.21643835616438356	3.1784850055534988	11.40435486868629	8.521161349469775e-21	4.1924113839391293e-19	2.906164502345481e-19	K00164/K01681/K01595/K01006/K00029/K01847/K01965/K01638/K03781/K07516/K00615/K01895/K01690/K00239/K00027/K01610/K00058/K00283/K01676/K00140/K01966/K01810/K00074/K00873/K00036/K00162/K01679/K01752/K00282/K01961/K00600/K01647/K01689/K01637/K01754/K00031/K01903/K00605/K00927/K00626/K00831/K00116/K00161/K03841/K00134/K00874/K01738/K00845/K00024/K11532/K00640/K01962/K00297/K00948/K01623/K01491/K01902/K01677/K01963/K01070/K00034/K01079/K00240/K01803/K00023/K01057/K01834/K01783/K00616/K00658/K01678/K01625/K00121/K02160/K01808/K05606/K00241/K00242/K02437	79	3Dt2c
map04112	Cell cycle - Caulobacter	22/925	31/13584	0.7096774193548387	10.421900610287707	14.196152733262222	1.8790253700944063e-19	7.704004017387066e-18	5.3403878939525235e-18	K01338/K13587/K03531/K02314/K02313/K03544/K03590/K03588/K02488/K02563/K11749/K13581/K03589/K13590/K13584/K13588/K01358/K06985/K13592/K11443/K13589/K02651	22	3Dt2c
map01232	Nucleotide metabolism	34/925	123/13584	0.2764227642276423	4.059380355965722	9.213324851452462	8.343654036329435e-13	2.9321984184814874e-11	2.0325894043389004e-11	K11177/K13482/K00525/K01937/K01951/K01488/K00088/K01241/K13481/K01756/K01487/K01939/K21053/K00526/K11178/K06966/K07043/K00560/K04765/K05810/K09903/K00942/K00939/K13483/K00943/K00945/K06287/K00857/K01494/K00759/K00106/K01489/K01520/K00940	34	3Dt2c
map03070	Bacterial secretion system	25/925	74/13584	0.33783783783783783	4.961285609934259	9.23620063612464	6.886689763188052e-12	2.1176571021803258e-10	1.467952291626927e-10	K03070/K03217/K12340/K03072/K03205/K03106/K02454/K03076/K02455/K02461/K03074/K03110/K02460/K03118/K02452/K02459/K03071/K02457/K03117/K02456/K03075/K03210/K02458/K03116/K03073	25	3Dt2c
map00520	Amino sugar and nucleotide sugar metabolism	37/925	156/13584	0.23717948717948717	3.483076923076923	8.431713153003752	1.2766643249411704e-11	3.489549154839199e-10	2.4189429314674814e-10	K12373/K00820/K01198/K02804/K01209/K01835/K01810/K01840/K04042/K03431/K00790/K00975/K02472/K00012/K12452/K13010/K01443/K01791/K09001/K01709/K01711/K00971/K01207/K01784/K08679/K07102/K00845/K00847/K02377/K00075/K00884/K00885/K00963/K01809/K00992/K00978/K02793	37	3Dt2c
map00230	Purine metabolism	45/925	220/13584	0.20454545454545456	3.003832923832924	8.099787620903262	1.867592030808125e-11	4.594276395787987e-10	3.1847358841149083e-10	K11177/K13482/K01952/K00951/K01139/K00955/K00956/K00525/K01835/K00602/K01951/K01488/K01524/K00764/K00088/K01241/K13481/K01756/K01487/K01939/K01933/K21053/K01589/K00526/K11178/K00948/K00957/K02083/K06966/K01945/K04765/K01923/K05810/K00942/K00939/K13483/K00759/K00106/K01515/K11175/K13485/K01587/K00940/K00839/K07127	45	3Dt2c
