ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	91/844	238/13584	0.38235294117647056	6.153889043769166	20.64582978530948	9.44940081701435e-49	2.220609191998372e-46	1.5914780323392588e-46	K00265/K01681/K00548/K00549/K00615/K01953/K01652/K01687/K01649/K00058/K01657/K00873/K00266/K00928/K01703/K01915/K01733/K00800/K01755/K01626/K00600/K00836/K00013/K00003/K01647/K00147/K01586/K01754/K00620/K01696/K00031/K01940/K01689/K01739/K00812/K00789/K00927/K00821/K01738/K00831/K00641/K01439/K00817/K02502/K01735/K00826/K01736/K00052/K00133/K00053/K00134/K01620/K01778/K00766/K01714/K02204/K00948/K00611/K00145/K00220/K00930/K01623/K04518/K00500/K01760/K00014/K00674/K00286/K01695/K01609/K02500/K01803/K01814/K00215/K01834/K00640/K00765/K01783/K01079/K00616/K01817/K02501/K01693/K01704/K00891/K01653/K01808/K03786/K01496/K01523/K04092	91	3Dt2j
map01240	Biosynthesis of cofactors	99/844	375/13584	0.264	4.249023696682465	16.421691997181483	9.118088169134843e-37	1.0713753598733441e-34	7.678390037166184e-35	K01955/K09883/K01665/K03342/K01077/K01916/K01113/K00278/K00128/K01885/K00382/K03147/K01919/K00600/K00012/K01756/K11754/K03185/K01939/K14652/K00643/K09458/K00652/K13038/K01556/K00789/K03750/K01465/K00941/K01956/K00831/K04487/K00796/K00826/K00457/K01497/K02259/K08679/K01599/K01698/K00254/K01053/K01772/K03517/K03149/K09882/K00097/K01012/K00609/K03644/K11752/K01920/K01937/K11753/K03179/K01749/K02257/K01491/K03639/K00963/K00228/K00767/K00208/K01809/K01918/K02303/K03525/K00059/K00858/K02302/K00453/K00568/K03183/K03474/K03801/K09903/K00788/K01591/K00969/K00939/K00606/K00793/K03809/K00859/K00762/K00275/K00798/K02372/K06134/K03638/K00954/K00950/K03637/K08973/K03635/K00287/K00940/K00794/K01633	99	3Dt2j
map02040	Flagellar assembly	36/844	55/13584	0.6545454545454545	10.534769495906938	18.236565650193562	1.6044495410021682e-30	1.256818807118365e-28	9.007436019661294e-29	K02400/K03086/K02409/K02407/K03092/K02412/K02396/K02390/K10943/K02401/K10941/K02394/K02410/K02557/K02416/K02556/K02406/K02397/K02392/K02419/K02421/K02391/K02405/K02393/K02389/K02411/K02386/K02415/K02388/K02422/K02387/K02408/K02417/K02395/K02418/K02420	36	3Dt2j
map03010	Ribosome	54/844	143/13584	0.3776223776223776	6.077751632254001	15.71115243383701	7.082322203649219e-29	4.160864294643916e-27	2.9820304015365132e-27	K02945/K02886/K02967/K02906/K02982/K02863/K02897/K02988/K02926/K02939/K02986/K02931/K02996/K02876/K02933/K02864/K02959/K02871/K02992/K02888/K02878/K02867/K02879/K02990/K02994/K02884/K02948/K02935/K02890/K02950/K02874/K02952/K02887/K02881/K02895/K02892/K02946/K02954/K02902/K02965/K02961/K02956/K02899/K02968/K02909/K02963/K02904/K02970/K02916/K02911/K02907/K02913/K02914/K02919	54	3Dt2j
map01200	Carbon metabolism	77/844	365/13584	0.21095890410958903	3.3953385704083616	11.93983700900741	5.301659863715159e-22	2.491780135946125e-20	1.785822269883001e-20	K00164/K01595/K01681/K01006/K00029/K01847/K01638/K03781/K01965/K07516/K00615/K00174/K01895/K01690/K00239/K01676/K01610/K00058/K00283/K01966/K00140/K01810/K00873/K00036/K00162/K00382/K01679/K00282/K01961/K00627/K00600/K01647/K00658/K01637/K01754/K00031/K01689/K00626/K01903/K00927/K01738/K00605/K00831/K00121/K00161/K00175/K01053/K00134/K11532/K00845/K00024/K01962/K00948/K00297/K00874/K01623/K01902/K01491/K00074/K01963/K01070/K00240/K01803/K00023/K01834/K01057/K00640/K01783/K01079/K00616/K01625/K02160/K01808/K05606/K00242/K02437/K00241	77	3Dt2j
map04112	Cell cycle - Caulobacter	21/844	31/13584	0.6774193548387096	10.90292004280691	14.207274119035851	8.815331265029184e-19	3.45267141213643e-17	2.4744789515871394e-17	K01338/K02314/K13587/K02313/K03544/K03590/K03588/K02563/K11749/K13581/K13590/K03589/K13584/K01358/K13588/K06985/K13592/K11443/K13589/K13583/K02651	21	3Dt2j
map03070	Bacterial secretion system	31/844	74/13584	0.4189189189189189	6.7424106571025995	12.748726140228225	1.1764815568795505e-18	3.9496166552384906e-17	2.8306323173041815e-17	K11891/K03070/K11907/K02453/K03217/K12340/K03072/K02454/K03106/K03076/K02455/K03074/K03110/K02452/K03118/K03203/K11915/K02459/K03071/K11903/K02457/K02462/K02456/K02458/K02460/K03117/K03210/K03075/K03198/K03116/K03073	31	3Dt2j
map00970	Aminoacyl-tRNA biosynthesis	23/844	66/13584	0.3484848484848485	5.608789314950452	9.66021876898555	3.5488804470689545e-12	1.0424836313265054e-10	7.471327256987273e-11	K01870/K01873/K01872/K01869/K01890/K01879/K01868/K01876/K04566/K01874/K01881/K02433/K02434/K01883/K01885/K01892/K01875/K01866/K01889/K01867/K00604/K01878/K02435	23	3Dt2j
map00190	Oxidative phosphorylation	43/844	223/13584	0.19282511210762332	3.103479055533122	8.151837264874503	2.0546585557133788e-11	5.364941784362711e-10	3.844975075019189e-10	K15408/K00937/K00341/K02298/K00336/K00239/K02274/K00342/K02111/K02112/K00343/K00335/K00412/K00333/K02297/K02259/K00337/K02257/K00332/K02115/K02262/K00413/K02108/K00240/K08738/K00334/K02275/K02299/K02109/K00339/K00411/K02113/K01507/K00331/K02258/K00338/K00242/K02300/K00330/K00241/K00340/K02114/K02110	43	3Dt2j
map00280	Valine, leucine and isoleucine degradation	22/844	69/13584	0.3188405797101449	5.131671131259014	8.855776057445752	7.813275384920546e-11	1.8361197154563282e-9	1.3159200648287235e-9	K01847/K01965/K01968/K01969/K01966/K00140/K00128/K00382/K09699/K00166/K00249/K00626/K00632/K00253/K00826/K00167/K00263/K01692/K00020/K01028/K01027/K05606	22	3Dt2j
map01232	Nucleotide metabolism	29/844	123/13584	0.23577235772357724	3.794705814356722	8.013723462536664	2.922106157299884e-10	5.917975115742567e-9	4.241325950812143e-9	K11177/K00525/K01951/K00088/K01241/K01756/K01939/K00526/K11178/K01937/K06966/K00560/K03787/K05810/K04765/K07043/K09903/K00942/K00939/K13483/K00943/K00945/K06287/K00857/K01494/K00759/K01520/K01489/K00940	29	3Dt2j
map00020	Citrate cycle (TCA cycle)	21/844	67/13584	0.31343283582089554	5.044634646671854	8.54202625306068	3.0219447399536516e-10	5.917975115742567e-9	4.241325950812143e-9	K00164/K01681/K00174/K00239/K01676/K01610/K00162/K00382/K01679/K00627/K01647/K00658/K00031/K01903/K00161/K00175/K00024/K01902/K00240/K00242/K00241	21	3Dt2j
map03430	Mismatch repair	17/844	44/13584	0.38636363636363635	6.218440327445067	8.923640942985829	3.65373364283372e-10	6.1402372907582405e-9	4.400617991136925e-9	K02337/K01972/K03657/K03572/K07462/K02343/K10747/K03601/K02338/K03555/K02340/K02341/K10857/K02342/K03111/K02339/K03602	17	3Dt2j
map00260	Glycine, serine and threonine metabolism	27/844	109/13584	0.24770642201834864	3.9867820340014783	8.058176062225222	3.658013705132569e-10	6.1402372907582405e-9	4.400617991136925e-9	K00058/K00283/K00928/K15785/K01733/K00382/K00282/K00600/K00836/K00003/K00643/K00639/K01754/K01696/K00605/K00831/K00133/K01620/K02204/K10674/K17103/K01695/K01834/K01079/K06718/K06720/K02437	27	3Dt2j
map03060	Protein export	16/844	39/13584	0.41025641025641024	6.602989427633978	9.018762730705463	4.181974571622466e-10	6.55176016220853e-9	4.6955503962076806e-9	K03070/K03217/K03072/K03106/K03076/K03074/K03110/K03100/K03118/K03071/K03101/K03117/K03210/K03075/K03116/K03073	16	3Dt2j
map00790	Folate biosynthesis	23/844	84/13584	0.27380952380952384	4.406905890318213	8.06152593615881	8.795857312238997e-10	1.2918915427351027e-8	9.258797170777891e-9	K01665/K03342/K01077/K01113/K11754/K14652/K03750/K00796/K01497/K03639/K00500/K06920/K10026/K07141/K03638/K00950/K03637/K09457/K03635/K00287/K01633/K01724/K03752	23	3Dt2j
map00550	Peptidoglycan biosynthesis	18/844	53/13584	0.33962264150943394	5.466153983725297	8.384767797018432	1.30106375511059e-9	1.7985293085352274e-8	1.2889795716265907e-8	K05366/K05515/K03587/K05367/K01928/K01924/K01929/K00790/K01925/K02563/K07258/K01000/K01921/K00075/K06153/K07260/K00806/K03814	18	3Dt2j
map00620	Pyruvate metabolism	29/844	133/13584	0.21804511278195488	3.509389587713359	7.48515823047633	2.0774611174503092e-9	2.7122409033379038e-8	1.943823267789763e-8	K01595/K01006/K00029/K01638/K00174/K01895/K01649/K01676/K01610/K00138/K00873/K00162/K00128/K00382/K01679/K01961/K00627/K00626/K00467/K00121/K00161/K13953/K00175/K00024/K01962/K01963/K01069/K01759/K02160	29	3Dt2j
map00290	Valine, leucine and isoleucine biosynthesis	11/844	19/13584	0.5789473684210527	9.318034422549264	9.338389288479522	2.384001707691427e-9	2.948633691092028e-8	2.1132425109730098e-8	K01652/K01687/K01649/K01703/K01754/K00826/K00263/K00052/K00053/K01704/K01653	11	3Dt2j
map00630	Glyoxylate and dicarboxylate metabolism	25/844	104/13584	0.2403846153846154	3.8689391177542833	7.559227489469761	3.2129426310392662e-9	3.7752075914711376e-8	2.7056358998225403e-8	K01681/K01847/K01638/K03781/K01965/K01895/K00283/K01966/K01915/K00382/K00282/K00600/K01647/K01637/K00626/K00605/K00015/K00024/K01433/K00023/K01458/K01091/K01625/K05606/K02437	25	3Dt2j
map00250	Alanine, aspartate and glutamate metabolism	20/844	70/13584	0.2857142857142857	4.598510494245091	7.7689834434329965	4.915926818131978e-9	5.501156201242928e-8	3.9425979493790306e-8	K15371/K00265/K01955/K13821/K01953/K00820/K00278/K00764/K00266/K01915/K01755/K00135/K01756/K01939/K01940/K00812/K01956/K00259/K00609/K13051	20	3Dt2j
map00340	Histidine metabolism	16/844	47/13584	0.3404255319148936	5.479076333568619	7.916998051199514	1.04069713700896e-8	1.1116537599868436e-7	7.967059422078162e-8	K01712/K01745/K00128/K00013/K01468/K00817/K02502/K01479/K02500/K01814/K01458/K00765/K02501/K01693/K01496/K01523	16	3Dt2j
map00240	Pyrimidine metabolism	25/844	111/13584	0.22522522522522523	3.624951966184194	7.14718551327167	1.3378484387521643e-8	1.3669321004641678e-7	9.796601839832781e-8	K01955/K00525/K01465/K01956/K00526/K00254/K00609/K01937/K06966/K00560/K03787/K04765/K07043/K09903/K01591/K00943/K00945/K09019/K06287/K00762/K00857/K01494/K01520/K01489/K00940	25	3Dt2j
map00010	Glycolysis / Gluconeogenesis	24/844	106/13584	0.22641509433962265	3.6441026558168645	7.034008335892521	2.3361318796792368e-8	2.2874624655192526e-7	1.639390792757359e-7	K01006/K00174/K01895/K01610/K00138/K01810/K00873/K00162/K00128/K00382/K00627/K01689/K00927/K01785/K00121/K00161/K13953/K00175/K00134/K11532/K00845/K01623/K01803/K01834	24	3Dt2j
