ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01240	Biosynthesis of cofactors	124/921	375/13584	0.33066666666666666	4.877064060803474	20.532555372101005	7.777949592893147e-54	1.9289314990375006e-51	1.383656295998886e-51	K02230/K01955/K01950/K03147/K09883/K01665/K03342/K01077/K01113/K01937/K00278/K02232/K01885/K00382/K01919/K11754/K01465/K01756/K02224/K00763/K00600/K01939/K00652/K09458/K00833/K00643/K09882/K03185/K04487/K00595/K13038/K01956/K00831/K14652/K02229/K03750/K00826/K01053/K03639/K00796/K01497/K02259/K00254/K01772/K03149/K00768/K01012/K01599/K01698/K02225/K03517/K00609/K01920/K11752/K11753/K02227/K03179/K03644/K00457/K01749/K00946/K02257/K01491/K00606/K00963/K00228/K00767/K19267/K01918/K00941/K01809/K00789/K00208/K02303/K03525/K00858/K02302/K05936/K02228/K05934/K00059/K01935/K02169/K00568/K03394/K03183/K03474/K09903/K02233/K05895/K00097/K00788/K01719/K01591/K00939/K08281/K03801/K06042/K01495/K04719/K00793/K03809/K00969/K19221/K00859/K08679/K00275/K00762/K00798/K02226/K06134/K02231/K03638/K00954/K02372/K00950/K00287/K03637/K08973/K03635/K00794/K01633/K02189/K00940	124	GCA_019112965.1
map01230	Biosynthesis of amino acids	95/921	238/13584	0.39915966386554624	5.887279993430597	20.513487488704598	1.8984460897341206e-49	2.3540731512703095e-47	1.6886178377108755e-47	K00265/K01681/K00548/K00615/K01953/K01687/K01652/K01649/K00058/K01657/K00873/K01703/K01915/K01752/K01733/K01626/K01755/K00013/K00600/K00003/K01647/K00147/K01586/K01754/K00928/K01696/K00800/K00620/K00031/K01940/K01739/K00927/K00812/K01760/K00832/K00821/K00641/K01438/K00831/K00817/K13810/K01439/K02502/K01735/K00931/K01738/K00826/K01736/K01620/K00052/K00133/K00053/K00134/K00766/K00640/K02204/K00611/K00948/K01778/K00145/K11645/K00930/K01714/K04518/K01079/K00500/K01689/K00674/K00014/K01695/K00789/K00286/K01609/K00266/K02500/K00220/K01803/K01814/K00215/K01834/K00765/K01783/K01817/K01704/K01658/K01807/K02501/K01693/K00891/K01653/K01808/K03786/K01496/K01523/K04092	95	GCA_019112965.1
map02040	Flagellar assembly	35/921	55/13584	0.6363636363636364	9.385845424933372	16.80562665358514	9.13463691848632e-28	7.551299852615358e-26	5.416679435874343e-26	K02400/K03086/K02409/K02407/K03092/K02396/K02412/K10943/K02401/K02394/K02410/K02416/K02397/K02557/K02419/K02556/K02406/K02405/K02411/K02392/K02421/K02391/K02393/K02389/K02415/K02386/K02422/K02388/K02408/K02418/K02387/K02395/K02398/K02417/K02420	35	GCA_019112965.1
map03010	Ribosome	52/921	143/13584	0.36363636363636365	5.363340242819071	14.145902804305297	3.9813391794298504e-25	2.4684302912465073e-23	1.7706482140095912e-23	K02945/K02886/K02967/K02906/K02988/K02982/K02863/K02926/K02986/K02897/K02939/K02931/K02996/K02933/K02876/K02864/K02871/K02992/K02878/K02867/K02879/K02990/K02994/K02884/K02948/K02959/K02890/K02935/K02950/K02952/K02874/K02887/K02881/K02895/K02892/K02954/K02888/K02946/K02961/K02956/K02899/K02968/K02965/K02909/K02963/K02970/K02916/K02904/K02911/K02907/K02914/K02919	52	GCA_019112965.1
map01200	Carbon metabolism	81/921	365/13584	0.2219178082191781	3.2731069564053366	11.872067686325602	3.7492864100800626e-22	1.859646059399711e-20	1.3339566385337484e-20	K00164/K01681/K01595/K01006/K07516/K00029/K00615/K01638/K01965/K01895/K01690/K00239/K01847/K01610/K00058/K00283/K01966/K01676/K00140/K01810/K00873/K00036/K00162/K00382/K18118/K01752/K01679/K00282/K01961/K00627/K00600/K01647/K01637/K00658/K01754/K00031/K00927/K01903/K00626/K00605/K00831/K13810/K00121/K01738/K01053/K00161/K03841/K00134/K00033/K00640/K11532/K00845/K00024/K01962/K00297/K00948/K11645/K00874/K01079/K01902/K01491/K00074/K01963/K01689/K01070/K15918/K00240/K01803/K00023/K01057/K01834/K01783/K01625/K01807/K00851/K00241/K02160/K01808/K05606/K00242/K02437	81	GCA_019112965.1
map04112	Cell cycle - Caulobacter	22/921	31/13584	0.7096774193548387	10.467164022275927	14.23122848096601	1.710899390725325e-19	7.071717481664676e-18	5.072666614606665e-18	K01338/K13587/K02313/K03531/K02314/K03590/K03588/K03544/K02563/K13581/K11749/K13590/K03589/K13584/K01358/K13583/K13588/K06985/K13592/K13589/K11443/K02651	22	GCA_019112965.1
map00860	Porphyrin metabolism	36/921	139/13584	0.2589928057553957	3.8199329786984744	9.012082223214243	1.3195238419762606e-12	4.6748844687158954e-11	3.353376380360722e-11	K02230/K09883/K02232/K01885/K02224/K00643/K09882/K00595/K02229/K02259/K01772/K00768/K01599/K01698/K02225/K02227/K01749/K02257/K00228/K02303/K02302/K05936/K02228/K05934/K03394/K02233/K05895/K01719/K06042/K19221/K00798/K02226/K02231/K03594/K08973/K02189	36	GCA_019112965.1
map00190	Oxidative phosphorylation	47/921	223/13584	0.21076233183856502	3.1085727640554475	8.56211199171721	1.8368800310850622e-12	5.694328096363693e-11	4.084641121754941e-11	K15408/K00937/K00341/K00336/K02298/K00239/K02274/K00425/K00342/K02111/K00343/K00335/K00412/K00333/K02275/K02297/K00426/K00337/K02259/K02276/K02257/K02115/K00413/K02108/K02112/K00240/K08738/K00332/K00334/K02109/K02299/K02113/K00339/K00411/K00331/K01507/K02258/K00241/K02300/K00242/K00330/K00340/K00338/K02114/K02110/K03941/K00424	47	GCA_019112965.1
map00970	Aminoacyl-tRNA biosynthesis	24/921	66/13584	0.36363636363636365	5.363340242819071	9.58283892474366	2.6731514626878215e-12	7.366017363850887e-11	5.283773066599319e-11	K01870/K01873/K01872/K01869/K01890/K01879/K01868/K01876/K01887/K04566/K01874/K01881/K02433/K02434/K01883/K01885/K01892/K01875/K01866/K01889/K01867/K00604/K01878/K02435	24	GCA_019112965.1
map03070	Bacterial secretion system	25/921	74/13584	0.33783783783783783	4.982832995862312	9.264876695604032	6.262622760329084e-12	1.553130444561613e-10	1.1140876278901212e-10	K02453/K03070/K03217/K03072/K02454/K12340/K03106/K03076/K02461/K02460/K03074/K02452/K03118/K02455/K02459/K03071/K02456/K03117/K02462/K02458/K02457/K03075/K03210/K03116/K03073	25	GCA_019112965.1
