ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	106/934	238/13584	0.44537815126050423	6.477534054306948	23.164558659463356	2.3448440116444383e-60	5.463486547131541e-58	3.899845829892855e-58	K00265/K01681/K01953/K00549/K00031/K00615/K01649/K01687/K01652/K00058/K01657/K01755/K00266/K00873/K01703/K01915/K01586/K01626/K01752/K00928/K01754/K00003/K12524/K01647/K00013/K01696/K00800/K06001/K00812/K01689/K00641/K00836/K00147/K00600/K01736/K01940/K00821/K14260/K01738/K00789/K00927/K01803/K00133/K14267/K00620/K00931/K00831/K00817/K01760/K00145/K00616/K01439/K04517/K00826/K00766/K01735/K13829/K00052/K01733/K02204/K00053/K01750/K01624/K04518/K00134/K00674/K00611/K03340/K00948/K01714/K16370/K00930/K00872/K00286/K00014/K00765/K02502/K04486/K01778/K01609/K02501/K01695/K03785/K05602/K02500/K00215/K01243/K01834/K01814/K01817/K01658/K01783/K01079/K01089/K01693/K01704/K00640/K01653/K00891/K00619/K01808/K07173/K01496/K11755/K04092/K01523	106	GCF_002332425.1
map01240	Biosynthesis of cofactors	107/934	375/13584	0.28533333333333333	4.149858672376873	16.807292483767622	5.0036558450711564e-39	5.829259059507897e-37	4.160934860638119e-37	K01955/K01950/K01195/K02551/K01665/K03342/K01937/K03147/K00278/K00767/K01938/K01113/K02302/K01885/K02492/K00382/K00231/K00128/K00012/K01756/K01911/K02549/K11754/K00963/K00763/K02552/K03517/K00059/K01465/K01845/K00103/K01939/K03750/K13038/K00600/K01599/K04487/K01956/K09458/K02858/K14652/K03153/K01772/K00789/K01809/K00831/K12234/K00226/K00254/K03800/K03639/K00826/K11753/K11752/K03644/K01661/K01698/K02259/K00946/K01749/K01053/K00867/K00609/K02257/K00941/K00950/K13940/K00858/K06215/K00077/K00796/K03149/K01719/K01491/K02619/K02548/K15734/K01918/K00878/K01591/K00606/K14153/K00868/K00788/K00355/K00082/K09903/K01664/K03183/K03801/K00275/K19267/K03707/K00859/K00939/K00793/K08681/K00762/K00287/K00969/K03637/K01495/K03635/K00954/K00794/K01579/K00940	107	GCF_002332425.1
map03010	Ribosome	53/934	143/13584	0.3706293706293706	5.390395471765922	14.341081227791085	9.230958274359143e-26	7.169377593085602e-24	5.117513709995595e-24	K02945/K02926/K02967/K02982/K02886/K02863/K02988/K02906/K02986/K02897/K02931/K02933/K02864/K02996/K02879/K02959/K02939/K02992/K02876/K02871/K02867/K02878/K02948/K02994/K02935/K02895/K02881/K02887/K02950/K02952/K02874/K02890/K02884/K02909/K02961/K02888/K02946/K02968/K02892/K02990/K02965/K02956/K02899/K02963/K02902/K02904/K02916/K02954/K02907/K02911/K02913/K02914/K02919	53	GCF_002332425.1
map01200	Carbon metabolism	80/934	365/13584	0.2191780821917808	3.1877034994573346	11.512287269547485	3.805213759337831e-21	2.2165370148142866e-19	1.582167826250993e-19	K00164/K01616/K00281/K00283/K01595/K01681/K00163/K00123/K01007/K00031/K03781/K01782/K01895/K00232/K13788/K00615/K00658/K11263/K00239/K00863/K01638/K01810/K01938/K00058/K01966/K00036/K00627/K00382/K00851/K00116/K00873/K00033/K00027/K01679/K01752/K01754/K01647/K01637/K00626/K01689/K00925/K00600/K00605/K01455/K00148/K01738/K00927/K01803/K01903/K00831/K00161/K00616/K00845/K07404/K00124/K01624/K02446/K00134/K00162/K00874/K00948/K00074/K01053/K16370/K00297/K01491/K01902/K00024/K00886/K02160/K00240/K01834/K01783/K01079/K01625/K00640/K01808/K00242/K00241/K02437	80	GCF_002332425.1
map01232	Nucleotide metabolism	39/934	123/13584	0.3170731707317073	4.611479605160077	10.932640967911487	1.4201805607084118e-16	6.618041412901199e-15	4.723969022987981e-15	K00525/K01937/K01951/K00088/K01488/K01756/K01129/K00756/K00758/K01939/K00760/K00876/K00526/K00560/K01239/K01250/K12700/K03783/K02566/K06287/K09903/K06966/K05810/K00943/K03784/K08723/K07043/K00761/K01494/K00939/K02825/K00857/K00942/K00759/K01520/K01489/K01485/K00940/K01487	39	GCF_002332425.1
map00260	Glycine, serine and threonine metabolism	33/934	109/13584	0.30275229357798167	4.403198239789404	9.693087556342016	1.39030602270956e-13	5.399021721522125e-12	3.8538307296159735e-12	K00281/K00283/K13745/K00058/K00108/K17755/K00382/K00130/K01752/K00928/K01754/K00003/K12524/K01696/K06001/K00836/K00600/K00605/K00639/K00133/K00865/K00831/K00060/K01733/K02204/K00872/K10674/K01695/K01834/K01079/K06718/K06720/K02437	33	GCF_002332425.1
map00051	Fructose and mannose metabolism	33/934	112/13584	0.29464285714285715	4.285255429795044	9.486109679843924	3.280247106516179e-13	1.0918536797403853e-11	7.79366981698581e-12	K02768/K02769/K02770/K02798/K02800/K00068/K01629/K01840/K00863/K01818/K00848/K00045/K03332/K00971/K18334/K00594/K00895/K01809/K01803/K01805/K12661/K01820/K00009/K00064/K00008/K01624/K00882/K02446/K16370/K00847/K07046/K19270/K01808	33	GCF_002332425.1
map00240	Pyrimidine metabolism	32/934	111/13584	0.2882882882882883	4.192835233520458	9.177657949193051	1.4525438835708198e-12	4.2305340609000125e-11	3.0197622842656516e-11	K01955/K00525/K01937/K01465/K00756/K00758/K01956/K00226/K00254/K00876/K00526/K00560/K01250/K00609/K12700/K01591/K02566/K06287/K09903/K06966/K00943/K08723/K07043/K00761/K01494/K02825/K00857/K00762/K01520/K01489/K01485/K00940	32	GCF_002332425.1
map00970	Aminoacyl-tRNA biosynthesis	24/934	66/13584	0.36363636363636365	5.288689896826942	9.490004474102907	3.6065610254317193e-12	9.336985765839896e-11	6.664756046996628e-11	K01870/K01869/K01872/K01873/K01890/K01868/K01876/K01874/K01887/K01881/K01885/K04567/K02433/K02434/K01883/K01880/K01892/K01042/K01866/K01875/K01889/K01867/K00604/K02435	24	GCF_002332425.1
map00340	Histidine metabolism	20/934	47/13584	0.425531914893617	6.1888924324570596	9.682520115959145	7.521151883105437e-12	1.7524283887635668e-10	1.2508863131901675e-10	K01712/K01745/K00128/K01468/K00013/K00817/K07008/K01479/K00765/K02502/K04486/K02501/K05602/K02500/K01814/K01089/K01693/K01496/K11755/K01523	20	GCF_002332425.1
map00900	Terpenoid backbone biosynthesis	23/934	63/13584	0.36507936507936506	5.30967676149689	9.316152563911185	9.253039495566477e-12	1.9599620022427175e-10	1.3990241533966542e-10	K01662/K00626/K13787/K13789/K00099/K01641/K03526/K01823/K00938/K03527/K00021/K00869/K00805/K01597/K00919/K06013/K00806/K14215/K21273/K12503/K00991/K01770/K12506	23	GCF_002332425.1
