Column1,unique.host_data.standardised_host.,Column2,,,,,,
23,MISSING,1,,"MISSING','MSSING','N/A','NA','NO COLLECTED','NOT APPLICABLE','NOT AVAILABLE','NOT COLLECTED','NOT PROVIDED','UNKNOWN",,,,
5,MSSING,1,,,,,,
179,N/A,1,,,,,,
1,NA,1,,,,,,
17,NO COLLECTED,1,,,,,,
6,NOT APPLICABLE,1,,,,,,
27,NOT AVAILABLE,1,,,,,,
61,NOT COLLECTED,1,,,,,,
80,NOT PROVIDED,1,,,,,,
214,UNKNOWN,1,,,,,,
361,ABIES KOREANA,,,,,,,
107,ABRAMIS BRAMA,,,,,,,
250,ACANTHOSPERMUM HISPIDUM,,,,,,,
316,ACROMYRMEX SP.,,,,,,,
168,ACROSTERNUM ARABICUM,,,,,,,
323,AEDES ALBOPICTUS,,,,,,,
339,AGARICUS BISPORUS,,,,,,,
200,ALFALFA,,,,,,,
69,ALGAE,,,,,,,
158,ALHAGI SPARSIFOLIA SHAP.,,,,,,,
193,ALLIARIA PETIOLATA,,,,,,,
130,ALLIUM CEPA,,,,,,,
298,ALLIUM SATIVUM,,,,,,,
382,ALLIUM SATIVUM VAR. OPHIOSCORODON,,,,,,,
122,ALLOMYRIA DICHOTOMA,,,,,,,
411,ALNUS ALNOBETULA SUBSP. FRUTICOSA,,,,,,,
315,ALNUS INCANA,,,,,,,
132,ALNUS INCANA SUBSP. RUGOSA,,,,,,,
99,ALYSSUM SERPYLLIFOLIUM SSP. LUSITANICUM,,,,,,,
194,AMARANTHUS PALMERI,,,,,,,
260,AMARANTHUS VIRIDIS,,,,,,,
203,ANANAS COMOSUS,,,,,,,
397,ANOPHELES GAMBIAE,,,,,,,
133,ANOPHELES MINIMUS,,,,,,,
139,ANOPHELES SINENSIS,,,,,,,
312,APIS CERANA JAPONICA,,,,,,,
302,APPLE,,,,,,,
307,APTEROSTIGMA,,,,,,,
381,ARABIDOPSIS,,,,,,,
79,ARABIDOPSIS THALIANA,,,,,,,
111,ARABIDOPSIS THALIANA COL-0,,,,,,,
91,ARABODOPSIS THALIANA,,,,,,,
239,ARACHIS HYPOGAEA,,,,,,,
383,ARNEBIA EUCHROMA,,,,,,,
308,ARVELIUS ALBOPUNCTATUS,,,,,,,
375,ASTRAGALUS,,,,,,,
103,ATYOPSIS MOLUCCENSIS,,,,,,,
301,AVENA SATIVA,,,,,,,
84,AZADIRACHTA INDICA,,,,,,,
292,BACTERIA,,,,,,,
45,BAMBOO,,,,,,,
16,BANNANA,,,,,,,
24,BAT,,,,,,,
343,BATHYCOELIA DISTINCTA,,,,,,,
366,BEACH MORNING GLORY IPOMOEA PES-CAPRAE,,,,,,,
96,BEAN,,,,,,,
181,BETA VULGARIS,,,,,,,
3,BETULA SCHMIDTII,,,,,,,
189,BIDENS ALBA,,,,,,,
365,BIOLOGICAL SOIL CRUSTS,,,,,,,
409,BOLIVINELLA SEMINUDA,,,,,,,
230,BORAGO OFFICINALIS,,,,,,,
12,BOS TAURUS,,,,,,,
276,BOS TAURUS INDICUS,,,,,,,
110,BOTRYOCOCCUS BRAUNII,,,,,,,
357,BRACHYSTETHUS RUBROMACULATUS,,,,,,,
76,BRASSICA NAPUS,,,,,,,
180,BRASSICA OLERACEA VAR. GEMMIFERA,,,,,,,
94,BUFFALO,,,,,,,
208,CAENORHABDITIS ELEGANS,,,,,,,
118,CAENORHABDITIS ELEGANS MY316,,,,,,,
101,CAJANUS CAJAN,,,,,,,
403,CALOPLACA LITTOREA,,,,,,,
119,CAMELUS DROMEDARIUS,,,,,,,
186,CANIS LUPUS FAMILIARIS,,,,,,,
319,CANTALOUPE,,,,,,,
293,CAPRA HIRCUS,,,,,,,
198,CARAGANA KORSHINSKII,,,,,,,
209,CAROLINA GERANIUM,,,,,,,
72,CARRAGEENAN,,,,,,,
146,CATTLE,,,,,,,
347,CENCHRUS BIFLORUS,,,,,,,
144,CETONIA AURATA,,,,,,,
22,CHELONOIDES CARBONARIA,,,,,,,
215,CHICKEN,,,,,,,
42,CHILOSCHISTA PARISHII SEIDENF.,,,,,,,
39,CHIONOECETES JAPONICUS,,,,,,,
314,CHORISTOSORIA CALOMELANOS,,,,,,,
384,CIGAR TOBACCO LEAVES,,,,,,,
174,CITRULLUS COLOCYNTHIS,,,,,,,
368,CITRUS,,,,,,,
379,CITRUS SINENSIS,,,,,,,
334,COLEUS SCUTELLARIOIDES,,,,,,,
363,COLOCASIA ESCULENTA (TARO),,,,,,,
141,COLPOPHYLLIA NATANS,,,,,,,
204,CORN,,,,,,,
391,CORNUS SERICEA,,,,,,,
196,COTINUS COGGYGRIA,,,,,,,
229,COTONEASTER ACUTIFOLIUS,,,,,,,
234,COTONEASTER ACUTIFOLIUS VAR. LUCIDUS,,,,,,,
304,COTTON,,,,,,,
51,COW,,,,,,,
284,CRAB GRASS,,,,,,,
88,CRASSOSTREA VIRGINICA,,,,,,,
241,CRATAEGUS MOLLIS,,,,,,,
231,CRATAEGUS MONOGYNA,,,,,,,
233,CRATAEGUS PINNATIFIDA,,,,,,,
225,CRATAEGUS SP.,,,,,,,
243,CRATEGUS CUNEATA,,,,,,,
247,CRATEGUS MONOGYNA,,,,,,,
390,"CREOSOTE BUSH, LARREA TRIDENTATA",,,,,,,
126,CUCUMBER,,,,,,,
402,CUCURBITA PEPO,,,,,,,
262,CYPERUS ESCULENTUS,,,,,,,
407,DAIRY CATTLE,,,,,,,
140,DANIO RERIO,,,,,,,
373,DENDROBIUM OFFICINALE,,,,,,,
256,DESMODIUM TORTUOSUM,,,,,,,
266,DIGITARIA SANGUINALIS,,,,,,,
263,DIGITARIA SP.,,,,,,,
166,DISTEMONANTHUS BENTHAMIANUS,,,,,,,
160,DRACAENA SANDERIANA,,,,,,,
324,DROSOPHILA,,,,,,,
279,DROSOPHILA MELANOGASTER,,,,,,,
352,DURUM WHEAT,,,,,,,
125,ECTOCARPUS SUBULATUS,,,,,,,
169,EDESSA SP.,,,,,,,
259,ENVIRONMENTAL,,,,,,,
401,EPHEBE LANATA,,,,,,,
150,EPIBOLUS PULCHRIPES,,,,,,,
244,EPIPCACTIS PALUSTRIS,,,,,,,
8,EQUUS CABALLUS,,,,,,,
156,EUCALYPTI OF EUCALYPTUS,,,,,,,
155,EUCALYPTUS,,,,,,,
177,EUCALYPTUS GRANDIS,,,,,,,
246,EUCALYPTUS SP.,,,,,,,
321,EUMAEUS ATALA,,,,,,,
400,EUNAPIUS FRAGILIS,,,,,,,
73,EUPHORBIA GRANULATA,,,,,,,
258,EUPHORBIA HYSSOPIFOLIA,,,,,,,
354,EUSCHISTUS SERVUS,,,,,,,
46,EXCOECARIA AGALLOCHA,,,,,,,
294,FIELD CUCUMBER,,,,,,,
92,FISH,,,,,,,
327,FLAVERIA ROBUSTA,,,,,,,
331,FLAVERIA TRINERVIA,,,,,,,
254,FRANKLINIELLA FUSCA,,,,,,,
320,FRESH FIELD CUCUMBER,,,,,,,
376,FRESHWATER LAKE,,,,,,,
172,FUNGI,,,,,,,
21,GALLUS GALLUS,,,,,,,
340,GARCINIA MORELLA,,,,,,,
367,GASTRODIA ELATA,,,,,,,
341,GASTROPHYSA ATROCYANEA,,,,,,,
136,GINKGO BILOBA,,,,,,,
264,GLANDULARIA BIPINNATIFIDA,,,,,,,
149,GLOMERIS CONNEXA,,,,,,,
394,GLYCINE CLANDESTINA,,,,,,,
310,GLYCINE MAX,,,,,,,
148,GOAT,,,,,,,
165,GOSSYPIUM HIRSUTUM,,,,,,,
