'alhagi sparsifolia shap.', '218100'
'allium sativum var. ophioscorodon', '4682'
'allomyria dichotoma', '273928'
'alyssum serpyllifolium ssp. lusitanicum', '226043' 
'amphibian : african clawed toad', '8355'
'amphisylla', '184247'
'arabodopsis thaliana', '3702'
'badger', '9655'
'bannana', '4640'
'bean', '3803'
'beef', '9913' 
'bird', '8782'
'bird (turkey)', '9103'
'bird of prey', '3073808'
'bivalve mollusk', ' 6544'
'bos taurus taurus', '9913' 
'broiler', '9031'
'buffalo', '27592'
'bull', '9913'
'caenorhabditis elegans my316', '6239'
'calf', '9913'
'calves', '9913'
'canine', '9611'
'carrageenan', '2769'
'chacoan mara', '181543' 
'chelonoides carbonaria', '50047'
'chiloschista parishii seidenf.', '339076'
'chroicocephalus novaehollandiae (australian silver gull chick)', '2547444' 
'citellus musticus', '9996' 
'cotton rat', '42414'
'crab grass', '66017'
'crataegus sp.', '23159'
'crategus cuneata', '2741994'
'crategus monogyna', '23159'
'crow', '30420'
'ctenophthalmus teres', '185849'
'dairy herd', '9913'
'edessa sp.', '1225063'
'egret', '8899'
'epipcactis palustris', '210730'
'equus ferus caballus', '1114792'
'equus ferus caballus (thoroughbred)', '1114792' 
'eucalyptus sp.', '3932'
'felix catus domesticus', '9685'
'finch', '9133'
'fish (rainbow trout)', '8022'
'flea', '7509'
'fleas stenoponia insperata', '7509'
'fly', '7147'
'fox', '9625'
'frog', '8342'
'grasses', '4479'
'guar pulse', '3832'
'hare', '9980'
'hawk', '56259'
'indigofera argentea burm.f.', '198858'
'kalidium foliatum (pall.) moq', '224146'
'larus sp. (gull)', '8911' 
'laying hen', '9031'
'lettuce', '4236'
'lily', '4688'
'linum austriacum ssp. austriacum', '586375'
'malus domestica ''egremont russet''', '3750'
'malus domestica ''gala''', '3750'
'malus prunifolia (crab apple)', '106564'
'mammal', '40674'
'mango tree', '29780'
'marmot', '9992'
'marsupial', '9263'
'masson pine', '88730'
'melanaphis sacchari zehntner', '742174' 
'migratory bird', '8782'
'mitus arvalis', '47230'
'mole', '9373'
'mormidea sp.', '631403'
'murine', '39107'
'mus musculus c3h/orl', '10090'
'mus musculus c57bl/6j', '10090'
'mushroom', '155619'
'neopsylla setosa', '129375'
'neopsylla specialis specialis', '129375'
'nicotiana tabacum l.', '4097' 
'night heron', '8900'
'nosopsylla laeviceps', '507074'
'opossum', '38605'
'orange', '23513'
'oryza sativa cv. hwayoung', '4530'
'oryza sativa l.', '4530' 
'otter', '169417'
'oyster', '98302'
'pallasiomys meridianus', '261754' 
'pear tree', '3766'
'pelicanus rufescens', '1243782'
'pheasant', '9005'
'pigeon', '8930'
'pistacia vera l.', '55513'
'pisum sativum l.', '3888'
'porcine', '9823'
'pork', '9823'
'possum', '38609'
'poultry', '9031'
'protaetia brevitarsis seulensis larva', '438893'
'pyrus communis ''clapp''s favorite''', '23211' 
'raphanus sativus var. flamboyant 5', '3726'
'rhombomis opinus', '186474'
'rice plant', '4530'
'richardia scabra l.', '60230'
'saccharum (sugarcane)', '4546' 
'salix sp. (willow)', '40685'
'shrew', '9376'
'shrew of unidentified species', '9376'
'siskin', '1647189'
'solanum tuberosum l.', '4113'
'sophora davidii (franch.) skeels', '49839'
'sorbus aucuparia ''rowancroft coral pink''', '36599'
'sorghum bicolor (l.) moench', '4558'
'stevia rebaudiana bertoni', '55670'
'sugar cane yz08-1095', '4546'
'taurocerus sp.', '2709344'
'theobroma grandiflorum (isolate c174 resistant to witches broom)', '108881'
'trachymyrmex sp.', '34717' 
'turtle', '8459'
'vole', '337677'
'walnut', '16718'
'weever', '56735'
'wild bird', '8782'
'wild boars', '41807'
'zea mays cv. sweet belle', '4577'
'zea mays l.', '4577'
'zea mays var. rugosa (sweet corn)', '4577'     
