Gene ID	Gene Name	Function	Description
NF004397.1	NF004397.1	Unknown	No metadata available
TIGR00442.1	TIGR00442.1	Unknown	No metadata available
NF004043.1	NF004043.1	Unknown	No metadata available
TIGR03725.1	TIGR03725.1	Unknown	No metadata available
TIGR01391.1	TIGR01391.1	Unknown	No metadata available
TIGR03654.1	TIGR03654.1	Unknown	No metadata available
TIGR01849.1	TIGR01849.1	Unknown	No metadata available
TIGR00498.1	TIGR00498.1	Unknown	No metadata available
NF001099.0	NF001099.0	Unknown	No metadata available
TIGR00447.2	TIGR00447.2	Unknown	No metadata available
TIGR00168.2	TIGR00168.2	Unknown	No metadata available
TIGR00092.1	TIGR00092.1	Unknown	No metadata available
NF006827.1	NF006827.1	Unknown	No metadata available
NF008164.0	NF008164.0	Unknown	No metadata available
TIGR01029.1	TIGR01029.1	Unknown	No metadata available
NF006606.0	NF006606.0	Unknown	No metadata available
TIGR00056.1	TIGR00056.1	Unknown	No metadata available
TIGR00580.1	TIGR00580.1	Unknown	No metadata available
TIGR00414.1	TIGR00414.1	Unknown	No metadata available
TIGR00418.1	TIGR00418.1	Unknown	No metadata available
TIGR01574.1	TIGR01574.1	Unknown	No metadata available
NF004044.1	NF004044.1	Unknown	No metadata available
NF000953.0	NF000953.0	Unknown	No metadata available
TIGR00006.1	TIGR00006.1	Unknown	No metadata available
TIGR00922.1	TIGR00922.1	Unknown	No metadata available
TIGR04406.1	TIGR04406.1	Unknown	No metadata available
TIGR02974.1	TIGR02974.1	Unknown	No metadata available
TIGR00043.2	TIGR00043.2	Unknown	No metadata available
NF010691.0	NF010691.0	Unknown	No metadata available
NF011501.0	NF011501.0	Unknown	No metadata available
TIGR02212.1	TIGR02212.1	Unknown	No metadata available
TIGR00174.1	TIGR00174.1	Unknown	No metadata available
TIGR01393.1	TIGR01393.1	Unknown	No metadata available
NF001261.0	NF001261.0	Unknown	No metadata available
NF004208.0	NF004208.0	Unknown	No metadata available
TIGR01009.1	TIGR01009.1	Unknown	No metadata available
TIGR00331.1	TIGR00331.1	Unknown	No metadata available
TIGR00472.1	TIGR00472.1	Unknown	No metadata available
TIGR00057.1	TIGR00057.1	Unknown	No metadata available
TIGR00460.1	TIGR00460.1	Unknown	No metadata available
NF005143.0	NF005143.0	Unknown	No metadata available
NF001810.0	NF001810.0	Unknown	No metadata available
TIGR01066.1	TIGR01066.1	Unknown	No metadata available
TIGR00234.1	TIGR00234.1	Unknown	No metadata available
NF003919.0	NF003919.0	Unknown	No metadata available
NF000820.0	NF000820.0	Unknown	No metadata available
TIGR01021.1	TIGR01021.1	Unknown	No metadata available
NF008035.0	NF008035.0	Unknown	No metadata available
TIGR00250.1	TIGR00250.1	Unknown	No metadata available
TIGR03953.1	TIGR03953.1	Unknown	No metadata available
NF000585.0	NF000585.0	Unknown	No metadata available
TIGR00478.1	TIGR00478.1	Unknown	No metadata available
TIGR00116.1	TIGR00116.1	Unknown	No metadata available
TIGR01191.1	TIGR01191.1	Unknown	No metadata available
NF000648.1	NF000648.1	Unknown	No metadata available
TIGR01389.1	TIGR01389.1	Unknown	No metadata available
TIGR00757.1	TIGR00757.1	Unknown	No metadata available
TIGR01071.1	TIGR01071.1	Unknown	No metadata available
TIGR00737.1	TIGR00737.1	Unknown	No metadata available
NF004676.0	NF004676.0	Unknown	No metadata available
NF004128.0	NF004128.0	Unknown	No metadata available
NF002211.1	NF002211.1	Unknown	No metadata available
NF005932.1	NF005932.1	Unknown	No metadata available
TIGR04123.1	TIGR04123.1	Unknown	No metadata available
NF003828.1	NF003828.1	Unknown	No metadata available
TIGR00344.1	TIGR00344.1	Unknown	No metadata available
TIGR00362.1	TIGR00362.1	Unknown	No metadata available
TIGR03625.1	TIGR03625.1	Unknown	No metadata available
TIGR00048.1	TIGR00048.1	Unknown	No metadata available
TIGR00667.1	TIGR00667.1	Unknown	No metadata available
TIGR00244.1	TIGR00244.1	Unknown	No metadata available
NF001750.0	NF001750.0	Unknown	No metadata available
TIGR00430.1	TIGR00430.1	Unknown	No metadata available
TIGR00010.1	TIGR00010.1	Unknown	No metadata available
TIGR01171.1	TIGR01171.1	Unknown	No metadata available
TIGR00416.1	TIGR00416.1	Unknown	No metadata available
NF006585.0	NF006585.0	Unknown	No metadata available
NF003739.0	NF003739.0	Unknown	No metadata available
TIGR04408.1	TIGR04408.1	Unknown	No metadata available
TIGR00644.1	TIGR00644.1	Unknown	No metadata available
TIGR00468.1	TIGR00468.1	Unknown	No metadata available
TIGR00634.1	TIGR00634.1	Unknown	No metadata available
TIGR01394.1	TIGR01394.1	Unknown	No metadata available
