host_value	taxon_name	taxon_rank	class_name	class_tax_id	genus_id	genus_name	accession	host	accession_number
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_004792415.1	eucalyptus	004792415.1
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095475.1	Eucalyptus	002095475.1
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095485.1	Eucalyptus	002095485.1
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095465.1	Eucalyptus	002095465.1
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_006494415.1	Eucalyptus	006494415.1
eucalypti of eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_009646115.1	eucalypti of Eucalyptus	009646115.1
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_002858935.1	maize	002858935.1
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	33882	Microbacterium	GCF_019061125.1	maize	019061125.1
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095315.1	Homo sapiens	002095315.1
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095385.1	Homo sapiens	002095385.1
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095575.1	Homo sapiens	002095575.1
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095305.1	Homo sapiens	002095305.1
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_013328205.1	Homo sapiens	013328205.1
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003951315.1	Homo sapiens	003951315.1
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001584615.1	Homo sapiens	001584615.1
