Gene ID	Gene Name	Function	Description
NF004043.1	NF004043.1	Unknown	No metadata available
TIGR03725.1	TIGR03725.1	Unknown	No metadata available
TIGR01391.1	TIGR01391.1	Unknown	No metadata available
TIGR00498.1	TIGR00498.1	Unknown	No metadata available
TIGR00168.2	TIGR00168.2	Unknown	No metadata available
TIGR00092.1	TIGR00092.1	Unknown	No metadata available
TIGR00233.1	TIGR00233.1	Unknown	No metadata available
NF008164.0	NF008164.0	Unknown	No metadata available
NF003544.0	NF003544.0	Unknown	No metadata available
NF006606.0	NF006606.0	Unknown	No metadata available
TIGR00056.1	TIGR00056.1	Unknown	No metadata available
TIGR00580.1	TIGR00580.1	Unknown	No metadata available
TIGR00414.1	TIGR00414.1	Unknown	No metadata available
TIGR00418.1	TIGR00418.1	Unknown	No metadata available
TIGR01574.1	TIGR01574.1	Unknown	No metadata available
NF004044.1	NF004044.1	Unknown	No metadata available
TIGR00006.1	TIGR00006.1	Unknown	No metadata available
TIGR02974.1	TIGR02974.1	Unknown	No metadata available
TIGR00043.2	TIGR00043.2	Unknown	No metadata available
TIGR02212.1	TIGR02212.1	Unknown	No metadata available
TIGR01393.1	TIGR01393.1	Unknown	No metadata available
NF001261.0	NF001261.0	Unknown	No metadata available
TIGR00331.1	TIGR00331.1	Unknown	No metadata available
TIGR00057.1	TIGR00057.1	Unknown	No metadata available
TIGR00460.1	TIGR00460.1	Unknown	No metadata available
TIGR01966.1	TIGR01966.1	Unknown	No metadata available
NF005143.0	NF005143.0	Unknown	No metadata available
NF001810.0	NF001810.0	Unknown	No metadata available
TIGR01066.1	TIGR01066.1	Unknown	No metadata available
TIGR00234.1	TIGR00234.1	Unknown	No metadata available
NF003661.0	NF003661.0	Unknown	No metadata available
NF008035.0	NF008035.0	Unknown	No metadata available
TIGR00250.1	TIGR00250.1	Unknown	No metadata available
TIGR00741.1	TIGR00741.1	Unknown	No metadata available
TIGR00478.1	TIGR00478.1	Unknown	No metadata available
NF001138.1	NF001138.1	Unknown	No metadata available
NF002211.1	NF002211.1	Unknown	No metadata available
TIGR04120.1	TIGR04120.1	Unknown	No metadata available
NF005932.1	NF005932.1	Unknown	No metadata available
TIGR01169.1	TIGR01169.1	Unknown	No metadata available
TIGR04123.1	TIGR04123.1	Unknown	No metadata available
NF003828.1	NF003828.1	Unknown	No metadata available
TIGR00456.1	TIGR00456.1	Unknown	No metadata available
TIGR00362.1	TIGR00362.1	Unknown	No metadata available
TIGR00244.1	TIGR00244.1	Unknown	No metadata available
TIGR00430.1	TIGR00430.1	Unknown	No metadata available
TIGR00010.1	TIGR00010.1	Unknown	No metadata available
TIGR00416.1	TIGR00416.1	Unknown	No metadata available
TIGR04408.1	TIGR04408.1	Unknown	No metadata available
TIGR00634.1	TIGR00634.1	Unknown	No metadata available
TIGR01394.1	TIGR01394.1	Unknown	No metadata available
