host_value	taxon_name	taxon_rank	class_name	class_tax_id	genus_id	genus_name	accession	host
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_004792415.1	eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002811195.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095475.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095485.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_000025405.2	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_006494355.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095465.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_006494415.1	Eucalyptus
eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_002095375.1	Eucalyptus
eucalypti of eucalyptus	Eucalyptus	genus	Magnoliopsida	3398	53335	Pantoea	GCF_009646115.1	eucalypti of Eucalyptus
medicago	Medicago	genus	Magnoliopsida	3398	53335	Pantoea	GCF_019880205.1	Medicago
dracaena sanderiana	Dracaena sanderiana	species	Magnoliopsida	3398	53335	Pantoea	GCF_011044475.1	Dracaena sanderiana
beta vulgaris	Beta vulgaris	species	Magnoliopsida	3398	53335	Pantoea	GCF_001662025.2	Beta vulgaris
halyomorpha halys	Halyomorpha halys	species	Insecta	50557	53335	Pantoea	GCF_000971765.1	Halyomorpha halys
mimosa scabrella	Mimosa scabrella	species	Magnoliopsida	3398	53335	Pantoea	GCF_009728735.1	Mimosa scabrella
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_002858935.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_023614195.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_028555205.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_013186335.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_013186345.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_000709995.2	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	53335	Pantoea	GCF_023614175.1	maize
maize	Zea mays subsp. mays	subspecies	Magnoliopsida	3398	33882	Microbacterium	GCF_019061125.1	maize
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_044342975.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_026075575.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_003032455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_001558735.2	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_027920325.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_027570015.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_045780835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_015654165.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_030248005.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095575.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_000475055.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_047395865.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_030056125.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_035787335.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_030144305.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_001067555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_040294885.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_035785735.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_035781035.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_035787595.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_024472015.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002313185.2	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_050192495.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_022346905.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_000738765.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_003970755.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_022346785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_022346765.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCA_038439815.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_018376395.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCA_018373275.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_018373415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	53335	Pantoea	GCF_002095305.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_013328205.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_019730555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_019730645.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_019731075.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003950365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003953025.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003951415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_025371035.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_030226645.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_030226785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003951315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_022346685.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003953065.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_022631155.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCF_003950715.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	13687	Sphingomonas	GCA_030824725.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001584615.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_000178455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_000285835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147615.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_013004595.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001584405.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_003574555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_014926255.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_019779965.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025151775.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025143725.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147165.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025152425.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025152225.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025149755.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025144065.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_000314575.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_007558825.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_002871435.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025148665.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025145865.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147845.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147805.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147605.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025147685.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_039753415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_002871875.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_002861415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001584355.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_022346385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_022346365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001810665.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001815905.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_030230605.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001806795.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001807555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025144725.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001806835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCA_030223925.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCA_030227465.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_015209585.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_049266655.1	Homo sapiens
