name,tax_id,accession_id,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,total_number_of_chromosomes,rank
Mycobacterium tuberculosis variant bovis,1765,GCF_037623675.1,4998182,4998182,44,1535370,2,44,1535370,2,44,4998182,3281023,65.5,50,Mycobacterium tuberculosis,1773,species,v1.2.3,97.2,11.21,27.3035,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583125.1,4344516,4344516,1,4344516,1,1,4344516,1,1,4344516,2850815,65.5,88,Mycobacterium tuberculosis,1773,species,v1.2.3,96.09,0.37,8.50025,1,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536635.1,4332203,4332203,94,165190,11,94,165190,11,94,4332203,2842704,65.5,31,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536625.1,4332964,4332964,95,137022,12,95,137022,12,95,4332964,2843234,65.5,30,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_020536675.1,4332964,4332964,95,137022,12,95,137022,12,95,4332964,2843234,65.5,28,Mycobacterium tuberculosis,1773,species,v1.2.4,96,0.37,8.08713,NA,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583145.1,4351057,4351057,1,4351057,1,1,4351057,1,1,4351057,2856080,65.5,114,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,1,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_000934325.3,4347648,4347648,1,4347648,1,1,4347648,1,1,4347648,2853235,65.5,653,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,1,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028768425.1,4342292,4342292,1,4342292,1,1,4342292,1,1,4342292,2850631,65.5,138,Mycobacterium tuberculosis,1773,species,v1.2.3,96,0.37,8.08713,1,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583285.1,4342977,4342977,1,4342977,1,1,4342977,1,1,4342977,2850583,65.5,159,Mycobacterium tuberculosis,1773,species,v1.2.3,95.98,0.37,7.9995,1,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583165.1,4344564,4344564,1,4344564,1,1,4344564,1,1,4344564,2851876,65.5,152,Mycobacterium tuberculosis,1773,species,v1.2.3,95.9,0.37,7.83676,1,BIOTYPE
Mycolicibacterium smegmatis,1772,GCF_020731585.1,6967248,6967248,2,6888981,1,2,6888981,1,2,6967248,4695499,67.5,710.55,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024599995.1,7006087,7006087,1,7006087,1,1,7006087,1,1,7006087,4722108,67.5,58,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600015.1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722103,67.5,71,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600315.1,7006086,7006086,1,7006086,1,1,7006086,1,1,7006086,4722105,67.5,45,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600035.1,7005472,7005472,1,7005472,1,1,7005472,1,1,7005472,4721678,67.5,72,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600175.1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720587,67.5,49,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_024600455.1,7003821,7003821,1,7003821,1,1,7003821,1,1,7003821,4720588,67.5,149,Mycobacterium smegmatis,1772,species,v1.2.4,98.76,1.13,84.058,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_023913245.1,6912349,6912349,112,171901,16,112,171901,16,112,6912349,4659344,67.5,87.59,Mycobacterium smegmatis,1772,species,v1.2.4,98.52,0.88,60.8696,NA,SPECIES
Mycolicibacterium smegmatis,1772,GCF_022370415.1,6895172,6895172,1,6895172,1,1,6895172,1,1,6895172,4647052,67.5,109,Mycobacterium smegmatis,1772,species,v1.2.3,98.31,0.88,30.4348,1,SPECIES
Mycolicibacterium smegmatis,1772,GCF_000331165.2,7119169,7119169,1,7119169,1,1,7119169,1,1,7119169,4791970,67.5,30.5784,Mycobacterium smegmatis,1772,species,v1.2.3,98.3,4.46,28.9855,1,SPECIES
Pseudomonas aeruginosa,287,GCF_004371905.1,6405151,6405151,31,510827,6,31,510827,6,31,6405060,4255830,66.5,33,Pseudomonas aeruginosa,287,species,v1.2.3,99.87,0.36,99.9822,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374995.1,6488187,6488187,72,256548,9,72,256548,9,72,6488187,4302056,66.5,45,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374795.1,6488449,6488449,78,256528,9,78,256528,9,78,6488449,4302200,66.5,32,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001375355.1,6490219,6490219,75,256525,10,75,256525,10,75,6490219,4303385,66.5,34,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374895.1,6489002,6489002,73,256502,9,73,256502,9,73,6489002,4302442,66.5,35,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001373615.1,6488596,6488596,71,243951,9,71,243951,9,71,6488596,4302423,66.5,29,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374655.1,6490367,6490367,71,243951,7,71,243951,7,71,6490367,4303482,66.5,36,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001374855.1,6486199,6486199,76,243951,9,76,243951,9,76,6486199,4300812,66.5,28,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001375015.1,6480396,6480396,76,233286,8,76,233286,8,76,6480396,4297651,66.5,30,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_001373775.1,6489195,6489195,75,231561,11,75,231561,11,75,6489195,4302744,66.5,24,Pseudomonas aeruginosa,287,species,v1.2.4,99.84,0.47,99.7511,NA,SPECIES
Pseudomonas putida,303,GCF_003053335.1,5996379,5996379,232,82281,22,232,82281,22,232,5996379,3711400,62,53,Pseudomonas putida,303,species,v1.2.4,99.9,0.99,99.2629,NA,SPECIES
Pseudomonas putida,303,GCF_014076515.1,6065162,6065162,2,6045913,1,2,6045913,1,2,6065161,3737529,61.5,100,Pseudomonas putida,303,species,v1.2.3,99.9,0.28,99.2629,2,SPECIES
Pseudomonas putida,303,GCF_003671955.1,6011680,6011680,1,6011680,1,1,6011680,1,1,6011680,3718086,62,178.2,Pseudomonas putida,303,species,v1.2.3,99.9,0.16,99.2629,1,SPECIES
Pseudomonas putida,303,GCF_028682565.1,6019916,6019916,55,513896,5,55,513896,5,55,6019916,3733076,62,50,Pseudomonas putida,303,species,v1.2.3,99.89,0.16,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_028682595.1,6020308,6020308,54,513896,5,54,513896,5,54,6020308,3733337,62,50,Pseudomonas putida,303,species,v1.2.3,99.89,0.16,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_044440665.1,5994130,5994130,34,371472,6,34,371472,6,34,5994130,3719356,62,270,Pseudomonas putida,303,species,v1.2.3,99.89,0.14,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_022134665.1,5993665,5993665,93,194507,11,93,194507,11,93,5993665,3719495,62,41.12,Pseudomonas putida,303,species,v1.2.3,99.89,0.14,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_021602445.1,6906464,6906464,193,114484,19,193,114484,19,193,6906464,4266381,62,58.3,Pseudomonas putida,303,species,v1.2.4,99.89,1.99,96.5602,NA,SPECIES
Pseudomonas putida,303,GCF_001886975.1,6031212,6031212,1,6031212,1,1,6031212,1,1,6031212,3740144,62,138,Pseudomonas putida,303,species,v1.2.3,99.89,0.68,96.5602,1,SPECIES
Pseudomonas putida,303,GCF_050573375.1,5913006,5913006,118,104031,14,118,104031,14,118,5913006,3660317,62,200,Pseudomonas putida,303,species,v1.2.3,99.88,0.36,96.3145,NA,SPECIES
