name,tax_id,accession_id,total_number_of_chromosomes,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,rank
Pseudomonas aeruginosa,287,GCF_001457615.1,1,6316979,6316979,1,6316979,1,1,6316979,1,1,6316979,4202241,66.5,100,Pseudomonas aeruginosa,287,species,v1.2.3,98.34,0.28,14.367,SPECIES
Pseudomonas aeruginosa,287,GCF_001045685.1,1,6317050,6317050,1,6317050,1,1,6317050,1,1,6317050,4202332,66.5,843,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,0.49,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_013201115.1,1,7564383,7564383,1,7564383,1,1,7564383,1,1,7564383,4949341,65.5,181.5,Pseudomonas aeruginosa,287,species,v1.2.4,97.65,3.46,9.47131,SPECIES
Pseudomonas aeruginosa,287,GCF_000981825.1,1,7497593,7497593,1,7497593,1,1,7497593,1,1,7497593,4918177,65.5,98,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.13,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_002208645.1,1,7411863,7411863,1,7411863,1,1,7411863,1,1,7411863,4871792,65.5,146,Pseudomonas aeruginosa,287,species,v1.2.3,97.46,2.86,8.42817,SPECIES
Pseudomonas aeruginosa,287,GCF_023093935.1,2,7583544,7583544,2,7408984,1,2,7408984,1,2,7583544,4954989,65.5,185,Pseudomonas aeruginosa,287,species,v1.2.3,99.11,1.48,31.0514,SPECIES
Pseudomonas aeruginosa,287,GCF_002085605.1,1,7380063,7380063,1,7380063,1,1,7380063,1,1,7380063,4845773,65.5,40,Pseudomonas aeruginosa,287,species,v1.2.4,99.32,1.13,45.6852,SPECIES
Pseudomonas aeruginosa,287,GCF_033615795.1,1,7352680,7352680,1,7352680,1,1,7352680,1,1,7352680,4840487,66,227,Pseudomonas aeruginosa,287,species,v1.2.3,99.06,2.42,29.0126,SPECIES
Pseudomonas aeruginosa,287,GCF_026727755.1,1,7345639,7345639,1,7345639,1,1,7345639,1,1,7345639,4828574,65.5,552.1,Pseudomonas aeruginosa,287,species,v1.2.3,99.16,1.74,33.4578,SPECIES
Pseudomonas aeruginosa,287,GCF_009676765.1,1,7344079,7344079,1,7344079,1,1,7344079,1,1,7344079,4829954,66,55.55,Pseudomonas aeruginosa,287,species,v1.2.3,99.82,2.18,94.4109,SPECIES
Pseudomonas aeruginosa,287,GCF_009676785.1,1,7343000,7343000,1,7343000,1,1,7343000,1,1,7343000,4829309,66,55.65,Pseudomonas aeruginosa,287,species,v1.2.3,99.79,2.18,92.5557,SPECIES
Pseudomonas aeruginosa,287,GCF_036542105.1,1,7330817,7330817,1,7330817,1,1,7330817,1,1,7330817,4810508,65.5,263,Pseudomonas aeruginosa,287,species,v1.2.3,99.18,1.59,34.5009,SPECIES
Pseudomonas aeruginosa,287,GCF_031223175.1,1,7316070,7316070,1,7316070,1,1,7316070,1,1,7316070,4824544,66,100,Pseudomonas aeruginosa,287,species,v1.2.4,99.71,0.53,86.1072,SPECIES
Pseudomonas aeruginosa,287,GCF_029916825.1,4,7364934,7364934,4,7299968,1,4,7299968,1,4,7364934,4817064,65.5,200,Pseudomonas aeruginosa,287,species,v1.2.3,99.79,2.82,92.5557,SPECIES
Pseudomonas aeruginosa,287,GCF_029961325.1,6,7447869,7447869,6,7290539,1,6,7290539,1,6,7447869,4887363,65.5,55,Pseudomonas aeruginosa,287,species,v1.2.3,95.64,0.77,3.71622,SPECIES
Pseudomonas aeruginosa,287,GCF_029962205.1,1,7288284,7288284,1,7288284,1,1,7288284,1,1,7288284,4786292,65.5,20,Pseudomonas aeruginosa,287,species,v1.2.3,98.9,0.62,23.3701,SPECIES
Pseudomonas aeruginosa,287,GCF_033971305.1,1,7282144,7282144,1,7282144,1,1,7282144,1,1,7282144,4801342,66,100,Pseudomonas aeruginosa,287,species,v1.2.3,99.33,6.09,48.4353,SPECIES
Pseudomonas aeruginosa,287,GCF_001516265.1,1,7273258,7273258,1,7273258,1,1,7273258,1,1,7273258,4782847,66,80.91,Pseudomonas aeruginosa,287,species,v1.2.3,98.09,1.52,12.1622,SPECIES
Pseudomonas aeruginosa,287,GCF_003073795.1,1,7267567,7267567,1,7267567,1,1,7267567,1,1,7267567,4778595,66,13.26,Pseudomonas aeruginosa,287,species,v1.2.3,99.04,0.9,28.2658,SPECIES
Pseudomonas aeruginosa,287,GCF_029961285.1,6,7289872,7289872,6,7264314,1,6,7264314,1,6,7289872,4791165,65.5,96,Pseudomonas aeruginosa,287,species,v1.2.3,96.56,0.98,5.41133,SPECIES
Pseudomonas aeruginosa,287,GCF_030121935.1,3,7269449,7269449,3,7263713,1,3,7263713,1,3,7269449,4770142,65.5,100,Pseudomonas aeruginosa,287,species,v1.2.3,98.75,1.22,19.9265,SPECIES
Pseudomonas aeruginosa,287,GCF_028404085.1,1,7262764,7262764,1,7262764,1,1,7262764,1,1,7262764,4768073,65.5,NA,Pseudomonas aeruginosa,287,species,v1.2.3,99.28,1.02,41.9571,SPECIES
Pseudomonas aeruginosa,287,GCF_039908075.1,2,7321695,7321695,2,7262350,1,2,7262350,1,2,7321695,4813396,65.5,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.19,1.16,36.9429,SPECIES
Pseudomonas aeruginosa,287,GCA_052974785.1,2,7315946,7315946,2,7251150,1,2,7251150,1,2,7315946,4799339,65.5,100,NA,NA,NA,NA,NA,NA,NA,SPECIES
Pseudomonas aeruginosa,287,GCF_039908025.1,1,7247732,7247732,1,7247732,1,1,7247732,1,1,7247732,4770706,66,1,Pseudomonas aeruginosa,287,species,v1.2.3,99.12,0.93,31.8634,SPECIES
Pseudomonas aeruginosa,287,GCF_002192495.1,1,7241575,7241575,1,7241575,1,1,7241575,1,1,7241575,4764618,66,83,Pseudomonas aeruginosa,287,species,v1.2.3,96.69,1.08,5.6899,SPECIES
Pseudomonas aeruginosa,287,GCF_002968655.1,2,7282236,7282236,2,7240677,1,2,7240677,1,2,7282236,4784781,65.5,24.23,Pseudomonas aeruginosa,287,species,v1.2.3,99.54,1.27,67.6031,SPECIES
