name,tax_id,accession_id,total_number_of_chromosomes,total_sequence_length,total_ungapped_length,number_of_contigs,contig_n50,contig_l50,number_of_scaffolds,scaffold_n50,scaffold_l50,number_of_component_sequences,atgc_count,gc_count,gc_percent,genome_coverage,checkm_marker_set,checkm_species_tax_id,checkm_marker_set_rank,checkm_version,completeness,contamination,completeness_percentile,rank
Mycobacterium tuberculosis variant bovis,1765,GCF_005156105.1,1,4411814,4411814,1,4411814,1,1,4411814,1,1,4411814,2896512,65.5,290,Mycobacterium tuberculosis,1773,species,v1.2.3,95.5,2.84,5.62093,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_001043255.1,1,4410431,4410431,1,4410431,1,1,4410431,1,1,4410431,2895332,65.5,NA,Mycobacterium tuberculosis,1773,species,v1.2.4,95.12,3.06,4.1312,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_001580385.1,1,4371707,4371707,1,4371707,1,1,4371707,1,1,4371707,2869823,65.5,766,Mycobacterium tuberculosis,1773,species,v1.2.3,95.64,1.31,6.27191,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_015482805.1,1,4370706,4370706,1,4370706,1,1,4370706,1,1,4370706,2869277,65.5,40.86,Mycobacterium tuberculosis,1773,species,v1.2.4,95.64,1.31,6.27191,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_001483905.1,1,4370705,4370705,1,4370705,1,1,4370705,1,1,4370705,2869274,65.5,80,Mycobacterium tuberculosis,1773,species,v1.2.3,95.64,1.31,6.27191,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_001274555.1,1,4370138,4370138,1,4370138,1,1,4370138,1,1,4370138,2868766,65.5,60,Mycobacterium tuberculosis,1773,species,v1.2.3,95.64,1.31,6.27191,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_902459825.2,1,4365068,4365068,1,4365068,1,1,4365068,1,1,4365068,2865383,65.5,200,Mycobacterium tuberculosis,1773,species,v1.2.3,95.7,0.37,6.84777,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583225.1,1,4362894,4362894,1,4362894,1,1,4362894,1,1,4362894,2863759,65.5,168,Mycobacterium tuberculosis,1773,species,v1.2.3,95.26,0.37,4.58187,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_002975475.1,1,4355637,4355637,1,4355637,1,1,4355637,1,1,4355637,2858107,65.5,180,Mycobacterium tuberculosis,1773,species,v1.2.3,95.83,0.45,7.44867,BIOTYPE
Mycobacterium tuberculosis variant bovis,1765,GCF_028583185.1,1,4353147,4353147,1,4353147,1,1,4353147,1,1,4353147,2857662,65.5,200,Mycobacterium tuberculosis,1773,species,v1.2.3,95.42,0.37,5.24537,BIOTYPE
