ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	accession
map01230	Biosynthesis of amino acids	103/928	238/13584	0.4327731092436975	6.334902926687916	22.483454776199345	2.0515483139760963e-57	4.780107571564304e-55	3.368858284002853e-55	K00265/K01958/K01681/K01657/K00031/K00615/K01652/K01649/K01687/K00800/K01586/K00058/K00873/K01703/K01752/K00266/K00134/K01915/K01940/K01755/K01626/K00600/K01739/K00928/K00812/K14260/K14267/K01754/K00013/K00003/K12524/K00836/K00147/K01647/K01689/K00549/K00789/K00821/K00927/K01803/K01696/K01736/K00831/K00817/K00620/K01439/K00931/K14155/K00766/K01735/K13829/K04517/K00145/K00616/K00052/K00826/K01733/K01620/K22476/K00133/K00641/K00053/K21071/K01624/K01778/K00930/K00948/K01714/K00674/K04518/K01738/K00611/K00872/K03785/K00014/K00765/K02502/K00286/K01658/K05602/K01609/K01695/K02500/K00215/K01834/K01814/K01817/K00640/K01079/K01783/K02501/K00891/K00619/K01704/K01089/K01693/K01653/K01808/K03786/K01496/K11755/K04092/K01523	103	1Dt1h
map01240	Biosynthesis of cofactors	110/928	375/13584	0.29333333333333333	4.293793103448276	17.514614588106443	1.1546322290582934e-41	1.3451465468529118e-39	9.480138301741778e-40	K01955/K02492/K01665/K03342/K13950/K00457/K03147/K01077/K01938/K00278/K02551/K01937/K01719/K13542/K00767/K00128/K01885/K11754/K01756/K00382/K00231/K00600/K02552/K00103/K00059/K02858/K14652/K00097/K01845/K00763/K01809/K01465/K00012/K09458/K01939/K03517/K03750/K01556/K04487/K13038/K01911/K02549/K00789/K03153/K00831/K00226/K00254/K00859/K01956/K12234/K01772/K00826/K03639/K03800/K11752/K01012/K03644/K01599/K00946/K00867/K00606/K00453/K01698/K02257/K00609/K00858/K00878/K00077/K11753/K00950/K13940/K02548/K01661/K02259/K00796/K00963/K01491/K02619/K06215/K15734/K00941/K00355/K01591/K01916/K01918/K00868/K02302/K02303/K03149/K00082/K00208/K09903/K00788/K03707/K03183/K06042/K00275/K01664/K03801/K01495/K00762/K08681/K00969/K00939/K08281/K03635/K00954/K03637/K00794/K00940	110	1Dt1h
map03010	Ribosome	53/928	143/13584	0.3706293706293706	5.425247166626478	14.405003437367789	6.773059787231972e-26	5.260409768083499e-24	3.707359041432238e-24	K02945/K02967/K02886/K02982/K02863/K02988/K02906/K02897/K02926/K02986/K02931/K02879/K02933/K02864/K02996/K02992/K02939/K02876/K02959/K02871/K02867/K02878/K02948/K02994/K02887/K02935/K02890/K02881/K02950/K02874/K02895/K02952/K02884/K02946/K02888/K02954/K02892/K02990/K02961/K02965/K02956/K02968/K02909/K02904/K02899/K02963/K02902/K02916/K02911/K02907/K02913/K02914/K02919	53	1Dt1h
map00260	Glycine, serine and threonine metabolism	42/928	109/13584	0.3853211009174312	5.64030370136033	13.171003733785291	1.5651165068321112e-21	9.116803652297048e-20	6.425215133310773e-20	K00281/K00283/K00302/K21833/K00276/K13745/K00108/K00058/K17755/K00130/K21832/K01753/K01752/K00479/K00382/K00600/K00274/K00928/K01754/K00003/K12524/K00605/K00836/K00865/K00303/K01696/K00831/K00830/K01733/K01620/K00133/K00018/K00872/K01695/K00544/K01834/K00305/K01079/K06718/K06720/K02437/K00304	42	1Dt1h
map01200	Carbon metabolism	79/928	365/13584	0.21643835616438356	3.168209730751063	11.370302670182431	1.0406396118970928e-20	4.849380591440452e-19	3.417679567493611e-19	K00164/K01616/K01958/K00123/K00281/K00283/K00163/K01681/K00031/K01782/K00317/K00232/K11263/K00615/K01895/K00658/K01938/K00239/K01637/K01810/K01638/K00058/K01966/K00873/K00116/K18118/K01962/K01963/K00627/K03781/K01752/K00131/K00134/K00382/K01679/K00600/K00027/K01754/K00605/K00626/K01647/K01689/K00248/K00927/K01803/K00148/K00831/K01903/K00830/K00122/K00161/K00124/K00616/K02446/K00162/K21071/K01624/K00948/K00018/K00926/K00845/K01738/K01902/K00074/K01491/K09709/K00297/K00886/K00240/K01834/K01715/K00640/K01079/K01783/K01625/K01808/K00242/K02437/K00241	79	1Dt1h
map01232	Nucleotide metabolism	40/928	123/13584	0.3252032520325203	4.760302775441547	11.343845795456359	1.6851295776341744e-17	6.543919859812711e-16	4.61193358089353e-16	K00943/K01081/K13482/K00525/K01937/K01951/K01129/K00088/K13481/K01756/K00756/K00758/K01939/K01487/K01239/K01250/K01488/K00760/K00526/K06966/K02566/K03783/K03465/K05810/K09903/K01489/K06287/K00857/K00876/K00945/K00761/K00759/K01494/K00939/K00942/K02825/K01520/K07043/K01485/K00940	40	1Dt1h
map00230	Purine metabolism	51/928	220/13584	0.2318181818181818	3.3933385579937303	9.691050348572418	4.936854624584708e-15	1.510783211953986e-13	1.0647489544378669e-13	K01081/K01952/K13482/K00951/K01139/K01923/K01945/K01119/K00525/K01835/K01768/K00602/K01951/K01129/K00088/K13481/K00764/K01756/K01466/K00956/K01939/K01487/K02083/K01239/K01589/K01488/K01933/K00760/K01524/K00948/K00526/K00926/K07816/K00957/K00365/K06966/K14977/K02566/K03783/K05810/K16841/K01515/K11175/K19710/K00759/K00939/K00942/K01588/K07127/K16840/K00940	51	1Dt1h
map00240	Pyrimidine metabolism	35/928	111/13584	0.3153153153153153	4.615563839701771	10.35688071057796	5.187238495979351e-15	1.510783211953986e-13	1.0647489544378669e-13	K01955/K00943/K01081/K01119/K00525/K01937/K19795/K06016/K01465/K00756/K00758/K01250/K00226/K00254/K01956/K00609/K00526/K01591/K06966/K02566/K03465/K09903/K01489/K06287/K00857/K00876/K00945/K00761/K00762/K01494/K02825/K01520/K07043/K01485/K00940	35	1Dt1h
map00250	Alanine, aspartate and glutamate metabolism	27/928	70/13584	0.38571428571428573	5.646059113300493	10.552743916941186	2.520220782566521e-14	6.524571581533327e-13	4.598297568191548e-13	K15371/K00265/K13821/K01955/K00820/K00278/K00135/K01744/K00764/K00266/K01756/K01915/K01940/K01755/K07250/K01425/K00812/K14260/K00823/K01939/K00262/K00830/K01956/K00259/K01424/K00609/K01779	27	1Dt1h
map00630	Glyoxylate and dicarboxylate metabolism	31/928	104/13584	0.2980769230769231	4.363229442970822	9.322917160265554	1.0276603347174196e-12	2.3944485798915878e-11	1.6875264443780787e-11	K01616/K00123/K00281/K00283/K01681/K11263/K01895/K01608/K01637/K01638/K01966/K03781/K01915/K00104/K00382/K00600/K00605/K00626/K00865/K01647/K00830/K00122/K11472/K00124/K00015/K00018/K01433/K00042/K01816/K01625/K02437	31	1Dt1h
map00970	Aminoacyl-tRNA biosynthesis	24/928	66/13584	0.36363636363636365	5.322884012539185	9.532634359080394	3.1428518270028982e-12	6.657131597197049e-11	4.6917213876789676e-11	K01870/K01869/K01872/K01873/K01890/K01868/K01881/K01876/K01887/K01874/K02433/K04567/K02434/K01885/K01883/K01042/K01880/K01892/K01866/K01875/K01889/K01867/K00604/K02435	24	1Dt1h
map00280	Valine, leucine and isoleucine degradation	23/928	69/13584	0.3333333333333333	4.879310344827586	8.747715502935348	6.988396452102659e-11	1.356913644449933e-9	9.563068829193114e-10	K01782/K11263/K01907/K01969/K01966/K00128/K00382/K07250/K01641/K00626/K00248/K00249/K00632/K11410/K00166/K00253/K00826/K01692/K01640/K00020/K08683/K01028/K01029	23	1Dt1h
map00020	Citrate cycle (TCA cycle)	22/928	67/13584	0.3283582089552239	4.806484817292847	8.45755735651566	2.528222618482788e-10	4.531352846972996e-9	3.1935443601887846e-9	K00164/K01616/K01958/K00163/K01681/K00031/K00658/K01596/K00239/K00116/K18118/K00627/K00382/K01679/K01647/K01903/K00161/K00162/K01902/K00240/K00242/K00241	22	1Dt1h
map00360	Phenylalanine metabolism	23/928	74/13584	0.3108108108108108	4.549627213420317	8.290763676378512	3.447408384717143e-10	5.737472525993531e-9	4.043576751999055e-9	K03782/K02618/K00276/K00457/K01426/K00146/K00274/K00812/K01912/K00285/K00529/K00817/K02613/K01692/K02609/K02611/K00074/K02554/K15866/K02612/K02614/K02610/K05710	23	1Dt1h
map00340	Histidine metabolism	18/928	47/13584	0.3829787234042553	5.606016140865737	8.565185545536613	6.146333206727417e-10	9.547304247783255e-9	6.728617405259489e-9	K01712/K01745/K00128/K01468/K00274/K00013/K00817/K00765/K02502/K05602/K02500/K01814/K02501/K01089/K01693/K01496/K11755/K01523	18	1Dt1h
map00010	Glycolysis / Gluconeogenesis	27/928	106/13584	0.25471698113207547	3.7285296031229667	7.636467046714978	1.5077202179092592e-9	2.1956175673303586e-8	1.5473970657489765e-8	K00163/K00001/K01895/K01596/K01835/K01810/K00873/K00128/K00138/K00627/K00131/K00134/K00382/K01689/K00927/K01803/K00161/K13979/K13953/K02446/K00162/K01785/K21071/K01624/K00845/K00886/K01834	27	1Dt1h
map03060	Protein export	16/928	39/13584	0.41025641025641024	6.005305039787799	8.476117220672563	1.6775706218680008e-9	2.2992585582073186e-8	1.6204397338167685e-8	K03070/K03072/K03106/K13280/K03076/K03110/K03074/K03217/K03118/K03100/K03210/K03101/K03117/K03116/K03073/K03075	16	1Dt1h
map00270	Cysteine and methionine metabolism	29/928	124/13584	0.23387096774193547	3.423387096774193	7.340653239503819	3.220227366248022e-9	4.012757584702246e-8	2.828055944041339e-8	K00797/K00058/K12960/K01752/K01251/K01739/K00928/K00812/K01740/K00003/K12524/K00549/K00789/K00831/K01761/K14155/K00826/K00133/K00641/K01505/K05396/K16844/K00558/K01738/K00547/K01011/K00544/K05810/K00640	29	1Dt1h
map01210	2-Oxocarboxylic acid metabolism	23/928	82/13584	0.2804878048780488	4.105761143818335	7.638349603526153	3.27220575576578e-9	4.012757584702246e-8	2.828055944041339e-8	K01681/K00031/K01652/K01649/K01687/K01703/K00928/K00812/K14260/K00836/K01647/K00821/K00620/K00145/K00052/K00826/K22476/K00133/K00053/K00930/K00619/K01704/K01653	23	1Dt1h
