#Query_org	Reference_assembly	Ref_name	MASH_distance	Estimated_ANI	P-value	Genus	Order	Type_strain
QS--flye_asm_1Dt100g_part2.fa	GCF_023674425	Sphingomonas donggukensis	0.1840	0.8160	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_012035195	Sphingomonas corticis	0.1887	0.8113	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001421785	Sphingomonas sp001421785	0.1907	0.8093	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_002374855	Sphingomonas adhaesiva	0.1907	0.8093	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_002117915	Sphingomonas sp002117915	0.1928	0.8072	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_002374835	Sphingomonas ginsenosidimutans	0.1950	0.8050	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001476895	Sphingomonas endophytica_A	0.1961	0.8039	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_000427645	Sphingomonas phyllosphaerae	0.1973	0.8027	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_004799495	Sphingomonas sp004799495	0.1973	0.8027	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_017304635	Sphingomonas sp017304635	0.1973	0.8027	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001425405	Sphingomonas sp001425405	0.1973	0.8027	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_013328205	Sphingomonas hominis	0.1985	0.8015	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_025548555	Sphingomonas sp025548555	0.1985	0.8015	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_024758705	Sphingomonas sp024758705	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_001421505	Sphingomonas sp001421505	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_030062225	Sphingomonas sp003946805	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_002292295	Sphingomonas sp002292295	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_900115745	Sphingomonas rubra	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_900199185	Sphingomonas guangdongensis	0.1997	0.8003	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_902506455	Sphingomonas sp902506455	0.2010	0.7990	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014199415	Sphingomonas endophytica	0.2010	0.7990	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_014197105	Sphingomonas jinjuensis	0.2010	0.7990	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_014641735	Sphingomonas metalli	0.2023	0.7977	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_030678875	Sphingomonas sp030678875	0.2023	0.7977	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_021391395	Sphingomonas cannabina	0.2023	0.7977	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_001425385	Sphingomonas sp001425385	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003550065	Sphingomonas caeni_A	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_900109565	Sphingomonas palmae	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_002197685	Sphingomonas dokdonensis	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_028289855	Sphingomonas sp028289855	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014196255	Sphingomonas pseudosanguinis	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	True
QS--flye_asm_1Dt100g_part2.fa	GCF_000382485	Sphingomonas sp000382485	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_014217605	Sphingomonas sp014217605	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	False
QS--flye_asm_1Dt100g_part2.fa	GCF_003515075	Sphingomonas gilva	0.2036	0.7964	0.0000	Sphingomonas	Sphingomonadales	True
